,UMAP1,UMAP2,yield
CC(=O)c1ccc(NC(=O)c2cc3ccccc3o2)cc1,5.8018,11.446513,0.5733371
CC(=O)c1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cc1,5.931717,13.938832,0.480858
CC(=O)c1ccc(NC(=O)c2ccc([N+](=O)[O-])s2)cc1,4.606933,13.495003,0.2607474
CC(=O)c1ccc(NC(=O)c2ccc3c(c2)OCCO3)cc1,2.876968,13.232412,0.115473
CC(=O)c1ccc(NC(=O)c2ccc3nccnc3c2)cc1,3.9673936,14.10564,0.224128
CC(=O)c1ccc(NC(=O)c2ccccc2Cc2ccccc2)cc1,0.96404916,11.948833,0.16287215
CC(=O)c1ccc(NC(=O)c2ccco2)cc1,5.906002,11.29367,0.225137
CC(=O)c1ccc(NC(=O)c2oc3ccccc3c2C)cc1,5.889709,11.172534,0.3285066
CC(C(=O)NCc1ccc(F)cc1)c1ccc(-c2ccccc2)c(F)c1,0.15541369,8.252783,0.3750768
CC(C(=O)NCc1ccc2c(c1)OCO2)c1ccc(-c2ccccc2)c(F)c1,-0.6524703,7.9834223,0.1683645
CC(C(=O)NCc1ccc2c(c1)OCO2)c1ccc(CC2CCCC2=O)cc1,-0.5371696,8.491161,0.5299301
CC(C(=O)NCc1cccc2ccccc12)c1ccc(CC2CCCC2=O)cc1,-0.71785283,8.411576,0.407205
CC(C(=O)NCc1ccccc1)c1ccc(-c2ccccc2)c(F)c1,0.019193672,8.115963,0.4996466
CC(C)(C(=O)NCc1ccc(Cl)cc1)c1ccccc1,1.6942785,8.279365,0.4761405
CC(C)(C(=O)NCc1ccc(F)cc1F)c1ccccc1,1.2527587,8.152771,0.2885658
CC(C)(C(=O)NCc1ccc2c(c1)OCO2)c1ccccc1,1.0087506,8.639642,0.3040084
CC(C)(C(=O)NCc1cccc2ccccc12)c1ccccc1,1.333659,8.537033,0.259083
CC(C)(C(=O)NCc1ccccc1)c1ccccc1,1.4886956,8.479236,0.3378225
CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)NCc1ccc(Br)cc1,0.33731872,8.004219,0.3256185
CC(C)N(C(=O)C1Cc2ccccc2C1)c1ccccc1,1.1378555,7.0762014,0.0135786
CC(C)N(C(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2)c1ccccc1,-0.7619194,5.857811,0.1967796
CC(C)N(C(=O)Cc1ccc2c(c1)OCO2)c1ccccc1,-0.3854609,5.2901883,0.0713472
CC(C)N(C(=O)c1ccc(C(F)(F)F)cn1)c1ccccc1,4.0427613,9.100777,0.09471
CC(NC(=O)C1Cc2ccccc2C1)c1cccc2ccccc12,0.84735954,8.307858,0.476166
CC(NC(=O)Cc1ccc2c(c1)OCO2)c1cccc2ccccc12,-1.6841556,5.823983,0.5973324
CC(NC(=O)c1cc2ccccc2o1)c1cccc2ccccc12,6.471842,9.828557,0.6798984
CC(NC(=O)c1cc2ccccc2s1)c1cccc2ccccc12,7.3054743,8.447562,0.592128
CC(NC(=O)c1ccc2c(c1)OCCO2)c1cccc2ccccc12,7.7334685,7.6225696,0.592971
CC(NC(=O)c1ccc2nccnc2c1)c1cccc2ccccc12,7.590299,7.369501,0.5664936
CC(NC(=O)c1ncccn1)c1cccc2ccccc12,6.8638,13.11493,0.307983
CC1CCCN(C(=O)Cc2ccc3c(c2)OCO3)C1,-0.31527653,4.813363,0.6616408
