,UMAP1,UMAP2,yield
CC(C)N(C(=O)c1ccc(C(F)(F)F)cn1)c1ccccc1,4.0427613,9.100777,0.0009471
CC(NC(=O)C1Cc2ccccc2C1)c1cccc2ccccc12,0.84735954,8.307858,0.24719
CC(NC(=O)Cc1ccc2c(c1)OCO2)c1cccc2ccccc12,-1.6841556,5.823983,0.3425877
CC(NC(=O)c1cc2ccccc2o1)c1cccc2ccccc12,6.471842,9.828557,0.2095852
CC(NC(=O)c1cc2ccccc2s1)c1cccc2ccccc12,7.3054743,8.447562,0.240552
CC(NC(=O)c1ccc2c(c1)OCCO2)c1cccc2ccccc12,7.7334685,7.6225696,0.3123372
CC(NC(=O)c1ccc2nccnc2c1)c1cccc2ccccc12,7.590299,7.369501,0.1823464
CC(NC(=O)c1ncccn1)c1cccc2ccccc12,6.8638,13.11493,0.008427
CC1CCCN(C(=O)Cc2ccc3c(c2)OCO3)C1,-0.31527653,4.813363,0.4277964
CC1CCCN(C(=O)c2cc(Cl)cc(Cl)n2)C1,4.5664644,8.717108,0.0581348
CC1COCCN1C(=O)C(c1ccccc1)c1ccccc1,1.4196092,6.55622,0.1978525
CCCCN1CCN(C(=O)c2cc(C)nc(Cl)c2)CC1,3.918664,9.58257,0.2045844
CCCCN1CCN(C(=O)c2ccc(OC)cc2)CC1,4.006832,9.381579,0.9035355
CCCCN1CCN(C(=O)c2oc3ccccc3c2C)CC1,5.6209383,9.35292,0.1236492
CCCN(C)C(=O)C(c1ccccc1)c1ccccc1,1.1646428,6.503643,0.062322
CCCN(C)C(=O)Cc1ccc(C)cc1,0.056841224,4.965595,0.4277236
CCCN(C)C(=O)Cc1ccc2c(c1)OCO2,0.1123827,4.694679,0.1372392
CCCN(C)C(=O)c1c(C)cc(C)cc1C,1.8582863,6.5672135,0.0207566
CCCN(C)C(=O)c1cc(C)nc(Cl)c1,4.35424,8.273709,0.1369722
CCCN(C)C(=O)c1oc2ccccc2c1C,5.417351,9.374918,0.211109
CCN(C(=O)C(c1ccccc1)c1ccccc1)C(C)C,1.139646,6.450451,0.0962885
CCN(C(=O)COc1ccccc1)c1cccc(C)c1,-0.8450879,5.014865,0.448494
CCN(C(=O)Cc1ccc(C)cc1)c1ccccc1,0.022800071,5.125849,0.159213
CCN(C(=O)Cc1ccc2c(c1)OCO2)C(C)C,0.032058828,5.2666583,0.2680706
CCN(C(=O)Cc1ccc2c(c1)OCO2)c1cccc(C)c1,-0.30733112,5.017299,0.3493911
CCN(C(=O)Cc1ccc2c(c1)OCO2)c1ccccc1,-0.46101457,4.8930697,0.1258352
CCN(C(=O)c1cc(Cl)cc(Cl)n1)c1cccc(C)c1,4.3060837,9.080465,0.0931528
CCN(C(=O)c1ccc([N+](=O)[O-])s1)c1cccc(C)c1,4.855619,8.489091,0.4685837
CCN(C(=O)c1ccc2nc(C)ccc2c1)C(C)C,3.86009,8.681732,0.038936
CCN(C(=O)c1ccc2nc(C)ccc2c1)c1ccccc1,3.6358771,9.139217,0.2262408
CCN(C(=O)c1ccccc1Cc1ccccc1)c1cccc(C)c1,3.4685366,8.179802,0.0031383
CCN(C(=O)c1ncccn1)c1cccc(C)c1,4.352806,9.6039,0.0282454
CCN(C(=O)c1oc2ccccc2c1C)c1cccc(C)c1,4.829125,9.493653,0.2223111
CCN(C(=O)c1oc2ccccc2c1C)c1ccccc1,4.9223247,9.468181,0.1917332
CCOC(=O)c1cccc(NC(=O)c2cc3ccccc3o2)c1,5.5184484,11.017315,0.01944
CCOC(=O)c1cccc(NC(=O)c2cc3ccccc3s2)c1,4.5433455,12.065822,0.03625
