can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_scf,E_thermal_correction,E_zpe,G,G_thermal_correction,H,H_thermal_correction,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,number_of_atoms,zero_point_correction,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_ES_root_NPA_total,C1_ES_root_NPA_valence,C1_Mulliken_charge,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_NPA_core,C1_NPA_total,C1_NPA_valence,C1_VBur,C2_APT_charge,C2_ES_root_Mulliken_charge,C2_ES_root_NPA_Rydberg,C2_ES_root_NPA_charge,C2_ES_root_NPA_core,C2_ES_root_NPA_total,C2_ES_root_NPA_valence,C2_Mulliken_charge,C2_NMR_anisotropy,C2_NMR_shift,C2_NPA_Rydberg,C2_NPA_charge,C2_NPA_core,C2_NPA_total,C2_NPA_valence,C2_VBur,O1_APT_charge,O1_ES_root_Mulliken_charge,O1_ES_root_NPA_Rydberg,O1_ES_root_NPA_charge,O1_ES_root_NPA_core,O1_ES_root_NPA_total,O1_ES_root_NPA_valence,O1_Mulliken_charge,O1_NMR_anisotropy,O1_NMR_shift,O1_NPA_Rydberg,O1_NPA_charge,O1_NPA_core,O1_NPA_total,O1_NPA_valence,O1_VBur,O2_APT_charge,O2_ES_root_Mulliken_charge,O2_ES_root_NPA_Rydberg,O2_ES_root_NPA_charge,O2_ES_root_NPA_core,O2_ES_root_NPA_total,O2_ES_root_NPA_valence,O2_Mulliken_charge,O2_NMR_anisotropy,O2_NMR_shift,O2_NPA_Rydberg,O2_NPA_charge,O2_NPA_core,O2_NPA_total,O2_NPA_valence,O2_VBur
CC1(C)C(C(=O)O)C1(C)C,-462.817211,0.512,1498.4251,1353.173,-463.029058587,0.221085,-462.82863,-462.86473,0.173566,-462.816266,0.222029,1.6947,0.133465,1487.1214,0.143015,-0.27648,0.00955,142.1974,1250.4,24.0,0.209666,-0.378691,-0.039302,0.02694,-0.31403,1.99883,6.31403,4.28826,-0.089287,55.3344,159.3439,0.02396,-0.36678,1.99879,6.36678,4.34404,0.7027218376337319,1.219637,0.09532,0.04925,0.53156,1.99923,5.46844,3.41996,0.234446,99.9793,25.8814,0.05422,0.85894,1.99922,5.14106,3.08762,0.5615953429830082,-0.752569,-0.10363,0.01219,-0.31821,1.99975,8.31821,6.30628,-0.261847,506.291,-38.9283,0.00994,-0.64216,1.99971,8.64216,6.63251,0.4653870358716174,-0.746076,-0.182678,0.00992,-0.65274,1.99972,8.65274,6.64311,-0.19892,200.9927,135.3815,0.00993,-0.70119,1.9997,8.70119,6.69157,0.35564820641913153
COc1ccc(CC(=O)O)cc1,-573.5973642405822,3.1534953874406035,2707.380429550391,1506.0250788340304,-573.7822251543539,0.18837027523957328,-573.608446243596,-573.6477514139478,0.13798294575375292,-573.5964199281765,0.1893152752395733,2.513236361210857,0.1195535384392789,2756.3690491468788,0.10910117277443994,-0.22865471121371883,-0.01045236566483897,166.1762,1289.1420456220278,22.0,0.17728895982007042,-0.04414418253296717,0.07129553850360863,0.01715257157490933,-0.5613227121638147,1.999013124058225,6.561322712163815,4.545160140588905,0.06668551992419751,20.18286622847466,153.64382713499282,0.016490090410411787,-0.5538142089088969,1.999013124058225,6.553814208908897,4.53831099444026,0.55220953384027,1.12617609165996,0.13819318270138556,0.056778342550053366,0.8509032998314914,1.9993462481164497,5.149096700168509,3.0929705483004812,0.15146108586761037,96.39058660843232,27.067616575984857,0.0558870115573928,0.8674135861311287,1.99935624811645,5.1325864138688715,3.0773394023114786,0.5209063030672927,-0.7252341135029166,-0.23688075951165044,0.010958759417751228,-0.6084066448681886,1.9997100000000003,8.60840664486819,6.597737885450437,-0.24088752992527426,526.8752622327072,-60.84600784355116,0.01081376695195221,-0.6138595680639003,1.9997100000000003,8.6138595680639,6.603335801111948,0.3901256882078328,-0.7120208278589484,-0.20193758964213782,0.010491285787454665,-0.7051301607048646,1.9996831240582247,8.705130160704865,6.694965750859186,-0.2022341511023031,177.2500016904264,145.79282190760176,0.010410657962129298,-0.7058536765415404,1.9996831240582247,8.70585367654154,6.695759894521187,0.37599092876313384
O=C(O)C1CCC(F)(F)CC1,-621.8403086581149,2.6352594536502045,1918.758345582971,1100.1917682835356,-622.0185839809371,0.18061211429808727,-621.8501011161487,-621.8860447823048,0.13487617582300326,-621.8393646581147,0.18155611431459684,2.2240510152020296,0.14405974200339133,1937.13007598781,0.14798985279309937,-0.29204959479649073,0.003930110789708029,164.15160000000003,1018.4431254041657,21.000000000000004,0.17081965628068232,-0.05419649163893254,-0.18476214350976564,0.019338865276028246,-0.31410108266871345,1.998978143015551,6.314101082668714,4.295784074377135,-0.22581621045379907,26.90996538647437,152.97665219380463,0.016775151307130483,-0.36450165112675803,1.9989381430155513,6.3645016511267585,4.348794642504988,0.6919849755449261,1.1140233195338662,0.06901536913999706,0.052867566490751645,0.5246442567848888,1.9992962855358152,5.475355743215112,3.4231918911885453,0.22067589395029918,97.87642353825115,24.5982737871012,0.05815756979266646,0.874858639799108,1.999276285700911,5.125141360200892,3.067707504707315,0.5445464496476597,-0.720767451885325,-0.08024586376611063,0.013211003959792769,-0.2936201440303929,1.9997400000000003,8.293620144030394,6.2806691400706,-0.23038730560600396,549.2154230102733,-65.76819756882207,0.010459430931672531,-0.6080638045040435,1.9997100000000003,8.608063804504045,6.59789623055682,0.3882585633567588,-0.7115349682417033,-0.1924735568642415,0.010514571754166669,-0.6691641398281858,1.9997100000000003,8.669164139828187,6.658937711089571,-0.20203291255507244,178.15319725819194,150.49203546703228,0.010196571941416084,-0.7111288565176016,1.9996800000000001,8.711128856517602,6.701250427591737,0.3986609522173882
O=C(O)Cc1ccc(C(F)(F)F)cc1,-795.8339041516133,4.0881514669913885,3723.640117755802,1428.52049453045,-795.9909332655786,0.1620445143020698,-795.8459766563806,-795.8881025892259,0.10784582972903346,-795.8329601516133,0.16298851430206976,4.066224099686262,0.15616990465286815,3776.8860553604004,0.12103990465286817,-0.2772098093057363,-0.03513,204.1483,1320.5895093830968,21.0,0.14997175701731802,-0.06643105119445902,0.01738807912385745,0.016599904652868168,-0.5682143802436431,1.9990299999999999,6.568214380243643,4.552587000764726,0.014305868213394557,37.06385143757473,155.16543863835375,0.015869904652868166,-0.5637197139586045,1.99902,6.563719713958605,4.5488323344796875,0.5522123287905092,1.1710227703522689,0.1590925281194773,0.05497495232643408,0.8667109534713183,1.99936,5.133289046528682,3.0789541895493793,0.15679254210390814,91.63783832914677,27.914413596553757,0.05483495232643408,0.8678753337149614,1.9993700000000003,5.132124666285039,3.0779197139586048,0.5155743337455658,-0.7230537610676534,-0.2238616271140256,0.010777530396320888,-0.6011199973256627,1.9997099999999999,8.601119997325663,6.590637474826048,-0.22829279476117698,561.0099963376107,-63.14969585958245,0.010735047673565916,-0.6082126178467462,1.9997099999999999,8.608212617846746,6.597767623069116,0.41049619442320767,-0.7638441188090738,-0.1958478212640552,0.01021,-0.701754804083367,1.99969,8.701754804083366,6.691862334479688,-0.197326115897989,180.76505214607516,146.05522358970666,0.0102,-0.7035798517569329,1.99969,8.703579851756933,6.693694899430499,0.35574458977054724
C#CCCCCCCC(=O)O,-500.7989878564375,0.761857530155974,2861.4205208830517,1536.2870029681064,-501.0241034362841,0.22812786086103812,-500.81142731378145,-500.85238440868693,0.17473166598566603,-500.7980438564375,0.22907242891883897,1.3627364477946027,0.13135010918876688,2983.00158381266,0.1432967413263619,-0.27464685051512877,0.011946632137595004,154.2084,1528.5125918547874,25.0,0.21568889888831322,-0.06208440890435051,-0.011829539611610118,0.014461981434898423,-0.49391379982588024,1.9991102065321116,6.49391379982588,4.48034343840576,-0.0817183832402167,35.76349767577661,162.99563478561691,0.013859403497518814,-0.5534602033404282,1.9990595460681087,6.553460203340428,4.540545052863438,0.5593170534354536,1.1064838835872457,0.0037042068648415667,0.04997725785053539,0.5199688420781438,1.9993828595730894,5.480031157921856,3.4306705118396708,0.16202265632274804,97.3748453062912,25.77204485228407,0.055502997034194236,0.8619794902219524,1.999348826559878,5.138020509778048,3.083171210707234,0.5299294989420618,-0.7171452652670699,-0.09048268457605732,0.013289503258222177,-0.2997524682309777,1.99974,8.299752468230977,6.286716469327406,-0.2463891287413909,553.5429309865004,-65.57265668273057,0.01038956705196141,-0.6189175295327087,1.9997088265598781,8.618917529532709,6.608813661874972,0.40908574111477725,-0.7183357976392014,-0.19276886432562254,0.010703226053688803,-0.66482988990561,1.9997115708219035,8.66482988990561,6.654413597463447,-0.20285499493962295,189.07745364464373,146.2707830085626,0.010221266691350291,-0.7081302306801943,1.9996836487705054,8.708130230680194,6.698221070826543,0.3704621054728248
C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,-1186.441955,3.2654,7237.4093,2326.101,-1186.84284702,0.41134,-1186.463448,-1186.512284,0.341011,-1186.441011,0.412284,6.2547,0.15022,7282.1013,0.11573999999999998,-0.26596,-0.03448,346.3792,2953.364,47.0,0.389847,-0.099081,0.14027,0.0279,-0.36624,1.99886,6.36624,4.33948,0.132165,18.7797,142.805,0.02803,-0.36643,1.99886,6.36643,4.33954,0.8100220264317181,1.057706,0.192462,0.05995,0.87293,1.99922,5.12707,3.0679,0.196241,101.7266,27.1368,0.05974,0.87657,1.99922,5.12343,3.06447,0.6257079924480805,-0.709947,-0.222352,0.01043,-0.60869,1.9997,8.60869,6.59855,-0.220101,536.0232,-65.9908,0.0104,-0.60615,1.9997,8.60615,6.59604,0.4264474512271869,-0.65511,-0.202732,0.01009,-0.71462,1.99968,8.71462,6.70485,-0.201909,169.4313,142.8157,0.01009,-0.71354,1.99968,8.71354,6.70378,0.4749056010069226
C=CC[C@H](CC(=O)O)NC(=O)OC(C)(C)C,-784.7998171400853,2.130126115175124,4720.99119808641,2052.3128157388396,-785.109259732973,0.31669945945301936,-784.8179964692526,-784.8660265882233,0.2504902116783144,-784.7988724721446,0.31764345945301936,2.6204118522831927,0.12933265675876124,4870.207846936545,0.13069509522261183,-0.2600277519813731,0.001362438463850597,229.2754,2138.776609867847,35.0,0.2985203951810456,-0.14117325222510707,0.044603609486418984,0.016614586622791014,-0.5076421021974016,1.9990820471630406,6.507642102197401,4.4919456394729265,-0.014380553435660635,37.77759532454843,157.27009466841926,0.015324917941266692,-0.5665478908688896,1.9990213123735139,6.56654789086889,4.5522019724479135,0.5992028896493145,1.1243781241942172,0.0004264766661682814,0.05146474237636531,0.5188987374056236,1.9993773201415113,5.481101262594376,3.4302598717155064,0.16385083479937684,98.3281326472303,26.15191693101641,0.05587857575285462,0.8639540292094925,1.9993448664558406,5.136045970790508,3.0808231739027385,0.5364998506357975,-0.7264188645535911,-0.120845011749391,0.013423874082547436,-0.34723133334066975,1.9997368047110076,8.34723133334067,6.334072723129409,-0.24598535347860603,542.2473044093085,-69.16111427424826,0.010423239719085561,-0.6174708049154314,1.9997068047110076,8.617470804915431,6.6073391233632215,0.40489873190833087,-0.7218795279693734,-0.2027647628564328,0.010723518356526534,-0.6785313164069116,1.9997103152633575,8.678531316406913,6.668095295237808,-0.20266116749065177,183.92743467635614,145.37057675205477,0.010238414715101039,-0.7096322114011632,1.999682698080896,8.709632211401164,6.699711844300587,0.3890748447066428
C=C[C@@H]1C[C@]1(NC(=O)OC(C)(C)C)C(=O)O,-783.5920223464805,3.448019083153338,4517.526412352376,1885.0816560957078,-783.8698324986492,0.2924698598321243,-783.6092969358392,-783.6550441012173,0.22944863597298687,-783.5910782068408,0.2934138598321243,2.560745694942865,0.12856812706427487,4539.726891610252,0.12404668833270746,-0.25261481539698233,-0.004521438731567412,227.25960000000003,1834.0247487058448,33.0,0.27519570746210253,0.11149099685088797,-0.14535202181155316,0.031777752786844526,0.06280918194528773,1.9988146705714376,5.937190818054712,3.906602908116363,-0.18096014321815068,72.8327012743883,153.21973836523773,0.02891670624130903,0.03129313392720734,1.9987712528627943,5.968706866072793,3.9410235908284923,0.7479228180890729,1.1022108536664403,0.12458935843618046,0.05189970935011841,0.5499301511978959,1.999180952178067,5.450069848802104,3.3989895012470113,0.2686447792517934,96.54844895473452,25.42389598062928,0.055096984306859206,0.8561772841765184,1.9991753294285626,5.143822715823482,3.0895536895518454,0.5939194750355661,-0.742485417709082,-0.195421316457218,0.012754276509089394,-0.4865607292511255,1.99974,8.486560729251126,6.474064117456317,-0.24286132434017876,524.3220449034746,-42.347582825406754,0.010260063326079857,-0.625776579933367,1.99972,8.625776579933367,6.6157966870471565,0.43630098049753674,-0.6977146663487428,-0.21462817719384394,0.01014331258471699,-0.7041822506718726,1.9997026492588112,8.704182250671874,6.694335520378512,-0.19221902182134615,165.945639351752,147.54071659656103,0.00988213241824622,-0.7030232961220508,1.9996826492588111,8.703023296122051,6.69345661601344,0.4335932557229041
CC(=O)CC(C(=O)O)c1ccccc1,-650.8828659371077,1.8212794437496518,3097.3753568266625,1402.543790389982,-651.1028537463346,0.2238073783049774,-650.8962929147249,-650.9383105392924,0.16836232525660683,-650.8819214532939,0.22475137964079503,2.5130391837843975,0.13712299411879203,3136.1251886400432,0.11839363537274022,-0.25551662949153225,-0.018729358746051833,192.21400000000006,1470.1258182397378,26.000000000000007,0.21037991820964846,-0.04039629655837282,-0.11346985351313552,0.022960484085654008,-0.3691392881416724,1.9989003161433196,6.369139288141673,4.347268827883208,-0.07956210828379129,13.58003281785967,146.70996414195022,0.024670501656735608,-0.3707628455957808,1.9989200000000005,6.370762845595781,4.347172343939047,0.7247964789950906,1.0969307922592453,0.20382696554273289,0.061768968122013754,0.8728452076550243,1.9992999942216731,5.127154792344977,3.0660858375811393,0.20276107464904258,100.12747369676293,24.615451162859188,0.06180267999305063,0.880716290171853,1.999299997110837,5.119283709828149,3.05817134886758,0.6151630032370694,-0.7185063477774525,-0.24363648592226178,0.010397776731071156,-0.6187101313987058,1.9997000133581768,8.618710131398707,6.60861234130946,-0.253974632757267,528.8569878083676,-44.417757994654025,0.01027823981432938,-0.6291275282490425,1.9996996972148575,8.629127528249045,6.619149594109022,0.46268632460833736,-0.6834588352440705,-0.18527675276456962,0.01033666467205752,-0.6937876156298518,1.9996606456448152,8.693787615629853,6.6837899787006485,-0.18437788034068633,170.33567403631056,144.5449041038687,0.010264783345602331,-0.6918300495269805,1.9996606561138277,8.691830049526983,6.681904617647401,0.4046146068754349
CC(=O)CCc1ccc(OCC(=O)O)cc1,-765.1923347385616,3.08831079604355,5928.587571447186,1760.0339592647272,-765.4411409836691,0.2584548190760135,-765.2082416675576,-765.2552145816495,0.19557529857017542,-765.1913906734242,0.2593991503210615,3.208341742365927,0.12228364615655926,5934.377959314255,0.10673079333023934,-0.22901443948679862,-0.015552852826319918,222.2402,1796.7689904289823,30.0,0.24254813028805183,0.45237725602695134,0.15454039650089957,0.02264068741591256,-0.1760612448915736,1.9990512050145326,6.176061244891574,4.154373881031084,0.15617863658063408,57.22566982638322,131.6886730295604,0.022644701612769286,-0.1752663118573352,1.9990512050145326,6.175266311857335,4.1535743195117565,0.5308991436441044,1.1094671486596341,0.1236715835613559,0.05393446351495787,0.8248926513601758,1.9994115127432264,5.175107348639824,3.1217613723816404,0.12328118565232762,91.94554098725767,29.246861777902744,0.05397065923514707,0.8251337530649162,1.9994115127432264,5.174866246935084,3.121479120706883,0.5259477253972861,-0.7200969986438646,-0.2246503623046852,0.011254088377070114,-0.5946495344664688,1.9997106513752008,8.59464953446647,6.583687934800123,-0.22559154473529744,562.5370765013458,-65.92667592502974,0.011253437001869655,-0.595548484363237,1.9997106513752008,8.595548484363238,6.584585429177446,0.3906959692696791,-0.7239355808124457,-0.1969606228928748,0.010753314620029595,-0.7027287657038106,1.9996815127432264,8.70272876570381,6.692295177631651,-0.19730676551295773,171.03728626881426,153.25187755773464,0.010756259711080384,-0.7030772583167058,1.9996815127432264,8.703077258316707,6.692640896976748,0.38338397512919375
