,UMAP1,UMAP2
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCCC(CC(=O)O)C1,0.96553266,2.2041316
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCCC(CCC(=O)O)C1,-1.0999097,2.7766738
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCCC1C(=O)O,4.291465,0.46834102
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCCC[C@@H]1C(=O)O,3.8150032,0.06659631
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCC[C@@H](C(=O)O)C1,2.3587267,0.7298256
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCC[C@H](CC(=O)O)C1,1.1327538,1.9577388
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCN(C(=O)OC(C)(C)C)C(C(=O)O)C1,3.3884614,1.0274615
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCOC(CC(=O)O)C1,1.283209,2.7383974
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCOC[C@H]1C(=O)O,4.2846875,0.7706246
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCSC(C(=O)O)C1,3.8005824,1.7302886
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCSCC1C(=O)O,3.808613,1.2548848
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CC[C@@H](C(=O)O)C1,2.6129005,2.4508944
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CC[C@H]1C(=O)O,3.941911,0.36996907
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCc2cc(CC(=O)O)ccc2C1,7.0076632,7.4948993
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CCc2cc(CCC(=O)O)ccc2C1,6.016289,7.100584
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1CSC(C)(C)C1C(=O)O,4.9028716,1.6685869
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1C[C@H](C(=O)O)[C@@H](c2ccccc2F)C1,3.4486642,4.9727798
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1C[C@H](c2ccccc2)C[C@H]1C(=O)O,5.0976286,2.8288462
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N1[C@@H](C(=O)O)CC[C@H]1c1ccccc1,4.978198,2.2398
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)NC(CC(=O)O)C1CCC1,0.7594232,2.708113
