,obj_min,obj_max,vendi_min,vendi_max
3,0.18170905507781251,0.28858433926156246,3.4045585842480732,10.212572915577002
5,0.203824898716875,0.3222476368743749,3.2229775707485318,10.05797818663399
8,0.46804071882562487,0.6673931907368752,2.9608733121194395,10.033560068592749
9,0.391270344914375,0.625073464455,2.9213736878208554,10.292262890590475
10,0.22114780759843744,0.5658321048428124,3.1463936286242733,10.422719899512686
12,0.210258165846875,0.46094865081937497,3.073519817243187,10.317552468018558
13,0.3972946278675001,0.6119103518943747,2.8300875023766427,10.05539081682738
20,0.4817940482643749,0.7030196417700001,2.89087233424233,10.089761973450916
21,0.4001696333143749,0.6752393489274999,2.9437594342863083,10.031475234614676
24,0.317693678645,0.46362564440375015,2.827409481517802,10.120629222515948
26,0.2921696529715625,0.5918126208565625,2.601631138453701,10.19176524059482
28,0.21305353886656242,0.5087571809909377,3.0317007553600033,9.984984971053962
30,0.25749756673687507,0.5086725198937498,2.719911145307856,10.440210592029697
42,0.3540123213803125,0.5496736817312501,2.9331233333016558,9.98875364332329
49,0.16798152038000003,0.29581126956406245,3.3771731728760157,10.082793909704296
57,0.272863367915,0.6249791497459376,3.3238069337323446,10.255219845331656
63,0.20149653202031254,0.4099527092434375,3.446546646105568,10.090605264538839
64,0.3670780142656249,0.5950615796406251,2.899165844888581,10.025020368574179
70,0.13324814729875,0.4260594761068749,3.1549673355532573,9.685490672090296
94,0.166038886185625,0.42115515797,2.992874164621945,9.786317766089775
