,UMAP_1,UMAP_2
C#CC(C)(C)N.CC(C)(C(=O)O)c1ccccc1,3.2727196,6.729408
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,8.231299,9.995091
C#CC(C)(C)N.O=C(O)C(c1ccccc1)c1ccccc1,2.802119,5.8494706
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,1.1668584,5.012345
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,-0.55922997,10.950521
C#CC(C)(C)N.O=C(O)Cc1ccc(C(F)(F)F)cc1,-0.9661913,10.691659
C#Cc1cccc(N)c1.COc1cc(C(=O)O)cc(OC)c1OC,8.025585,8.424386
C#Cc1cccc(N)c1.Cc1c(C(=O)O)oc2ccccc12,9.520743,5.493647
C#Cc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,11.427087,10.325263
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)c2ccccc12,7.2814,8.53117
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,7.129852,6.8741517
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,8.526333,7.901169
C#Cc1cccc(N)c1.Cc1ccc(CC(=O)O)cc1,1.820283,10.981138
C#Cc1cccc(N)c1.Cc1ccc2cc(C(=O)O)ccc2n1,8.743461,9.028398
C#Cc1cccc(N)c1.O=C(O)C1c2ccccc2Oc2ccccc21,0.1610426,5.3549666
C#Cc1cccc(N)c1.O=C(O)COc1ccccc1,0.7372265,14.457852
C#Cc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,1.4277486,10.403818
C#Cc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,12.842141,11.256754
C#Cc1cccc(N)c1.O=C(O)c1ccc2nccnc2c1,9.96535,9.37167
C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1,2.0817072,10.845682
C1CCNC1.Cc1ccc2cc(C(=O)O)ccc2n1,9.1044,9.726498
C1CCNC1.O=C(O)C(c1ccccc1)c1ccccc1,3.1015449,5.8781986
C1COCCN1.Cc1c(C(=O)O)oc2ccccc12,8.882078,6.596735
C1COCCN1.Cc1ccc(CC(=O)O)cc1,2.7009976,10.088845
C1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,3.1740968,5.862104
C1COCCN1.O=C(O)Cc1ccc2c(c1)OCO2,2.89409,9.682937
CC(=O)c1ccc(N)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,0.9886647,6.8864455
CC(=O)c1ccc(N)cc1.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,0.36077538,6.386736
CC(=O)c1ccc(N)cc1.CC1(C)C(C(=O)O)C1(C)C,5.595528,8.497732
CC(=O)c1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,0.54088175,10.1471
