,UMAP_1,UMAP_2
C#CC(C)(C)N.CC(C)(C(=O)O)c1ccccc1,4.076488,15.359015
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,9.771946,15.190788
C#CC(C)(C)N.Cc1ccc(F)cc1C(=O)O,9.963367,15.342894
C#CC(C)(C)N.O=C(O)C(c1ccccc1)c1ccccc1,3.6249454,14.736818
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,1.5575124,15.40169
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,2.7291613,9.4502325
C#CC(C)(C)N.O=C(O)Cc1ccc(C(F)(F)F)cc1,2.088719,9.125653
C#CC(C)(C)N.O=C(O)Cc1ccc([N+](=O)[O-])cc1,1.4933376,9.132617
C#CC(C)(C)N.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,0.16121317,9.957186
C#CC(C)(C)N.O=C(O)c1ccc2nccnc2c1,10.627351,15.514627
C#Cc1cccc(N)c1.CC(NC(=O)OCc1ccccc1)C(=O)O,2.9570937,13.66155
C#Cc1cccc(N)c1.COc1cc(C(=O)O)cc(OC)c1OC,9.433693,13.809944
C#Cc1cccc(N)c1.Cc1c(C(=O)O)oc2ccccc12,10.252591,10.970949
C#Cc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,12.599886,15.344564
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)c2ccccc12,8.927614,13.799296
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,8.81538,12.544622
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,10.445426,13.3399515
C#Cc1cccc(N)c1.Cc1ccc(CC(=O)O)cc1,4.356468,11.662605
C#Cc1cccc(N)c1.Cc1ccc2cc(C(=O)O)ccc2n1,10.064672,13.978857
C#Cc1cccc(N)c1.O=C(O)COc1ccccc1,4.7803626,7.236079
C#Cc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,3.7020347,11.861277
C#Cc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,14.939019,15.532536
C#Cc1cccc(N)c1.O=C(O)c1ccc2nccnc2c1,11.413972,14.328547
C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1,4.1054597,10.722093
C1CCNC1.Cc1ccc2cc(C(=O)O)ccc2n1,10.683807,14.6934
C1CCNC1.O=C(O)C(c1ccccc1)c1ccccc1,3.9233239,14.063811
C1COCCN1.Cc1c(C(=O)O)oc2ccccc12,10.582584,11.789315
C1COCCN1.Cc1ccc(CC(=O)O)cc1,5.1588416,11.129543
C1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,4.2315516,14.356411
CC(=O)c1ccc(N)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,2.3836095,14.598099
CC(=O)c1ccc(N)cc1.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,2.1751525,13.719114
CC(=O)c1ccc(N)cc1.CC1(C)C(C(=O)O)C1(C)C,6.5144644,12.80849
CC(=O)c1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,3.0539193,11.174322
CC(=O)c1ccc(N)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,2.4040616,14.200666
CC(=O)c1ccc(N)cc1.Cc1c(C(=O)O)oc2ccccc12,10.424644,10.792165
CC(=O)c1ccc(N)cc1.Cc1cc(C(=O)O)cc(Cl)n1,12.722187,14.816942
CC(=O)c1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,9.342114,14.306194
