,UMAP_1,UMAP_2
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,7.943088,7.828888
C#CC(C)(C)N.Cc1ccc(F)cc1C(=O)O,7.914067,8.680136
C#CC(C)(C)N.O=C(O)C(c1ccccc1)c1ccccc1,1.1426842,5.112528
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,1.1084765,3.7506676
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,-0.29855454,10.606024
C#CC(C)(C)N.O=C(O)Cc1ccc(C(F)(F)F)cc1,-0.8242396,10.903511
C#CC(C)(C)N.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-1.4789978,10.963063
C#CC(C)(C)N.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-2.5930948,8.559569
C#CC(C)(C)N.O=C(O)c1ccc2nccnc2c1,8.900929,8.369547
C#Cc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,9.82952,9.575538
C#Cc1cccc(N)c1.O=C(O)COc1ccccc1,2.0816605,11.803072
C#Cc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,1.7049115,8.50313
C#Cc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,11.998602,11.794521
C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1,2.0268204,10.040731
C1CCNC1.Cc1ccc2cc(C(=O)O)ccc2n1,8.087132,8.77651
C1CCNC1.O=C(O)C(c1ccccc1)c1ccccc1,1.1019825,5.6503744
C1COCCN1.Cc1c(C(=O)O)oc2ccccc12,6.523755,9.152361
C1COCCN1.Cc1ccc(CC(=O)O)cc1,2.6666312,10.319406
C1COCCN1.O=C(O)Cc1ccc2c(c1)OCO2,3.144188,10.1033745
CC(=O)c1ccc(N)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,-1.2391003,5.548516
CC(=O)c1ccc(N)cc1.CC1(C)C(C(=O)O)C1(C)C,3.3845174,7.958146
CC(=O)c1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,0.8156469,9.278812
CC(=O)c1ccc(N)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,-0.8281362,5.410506
CC(=O)c1ccc(N)cc1.Cc1ccc(CC(=O)O)cc1,1.4599841,9.532913
CC(=O)c1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,8.768902,8.981461
CC(=O)c1ccc(N)cc1.O=C(O)/C=C/c1ccccc1,8.733787,11.119697
CC(=O)c1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,-0.1691218,5.60748
CC(=O)c1ccc(N)cc1.O=C(O)C1Cc2ccccc2C1,0.7253491,7.747825
CC(=O)c1ccc(N)cc1.O=C(O)Cc1cc(F)cc(F)c1,-0.24656305,9.066036
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc(C(F)(F)F)cc1,-0.7199872,9.481667
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.7088921,7.9205317
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,0.949044,8.761609
CC(=O)c1ccc(N)cc1.O=C(O)c1c[nH]c2ncccc12,8.081631,9.606353
CC(=O)c1ccc(N)cc1.O=C(O)c1cc2ccccc2o1,7.3068247,10.311263
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,11.723386,11.781211
CC(=O)c1ccc(N)cc1.O=C(O)c1ccco1,8.374706,11.7666645
CC(C)NC(C)C.Cc1ccc(CC(=O)O)cc1,2.922412,9.531753
CC(C)Nc1ccccc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.735001,8.330892
CC(C)Nc1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,2.4004605,9.191304
CC(C)Nc1ccccc1.O=C(O)c1ccc(C(F)(F)F)cn1,11.606957,11.879725
CC1CCCNC1.O=C(O)Cc1ccc2c(c1)OCO2,3.0719578,9.9188
CC1CCCNC1.O=C(O)c1cc(Cl)cc(Cl)n1,10.719788,11.367982
CC1COCCN1.COc1ccc(C(=O)O)cc1,7.481432,8.435181
CC1COCCN1.Cc1c(C(=O)O)oc2ccccc12,6.795858,9.133051
CC1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,1.5776377,5.5848756
CCCCN1CCNCC1.COc1ccc(C(=O)O)cc1,8.00053,8.706566
CCCCN1CCNCC1.Cc1c(C(=O)O)oc2ccccc12,6.7725472,9.276313
CCCNC.Cc1c(C(=O)O)oc2ccccc12,6.528196,9.350231
CCCNC.Cc1cc(C(=O)O)cc(Cl)n1,9.0299,9.19711
CCCNC.Cc1cc(C)c(C(=O)O)c(C)c1,5.663952,8.604084
CCCNC.Cc1ccc(CC(=O)O)cc1,3.106635,9.933094
CCCNC.O=C(O)C(c1ccccc1)c1ccccc1,1.6328071,5.7721434
CCCNC.O=C(O)Cc1ccc2c(c1)OCO2,3.3524866,9.576841
CCCNC.O=C(O)c1cc(Cl)cc(Cl)n1,10.650905,11.120263
CCNC(C)C.Cc1cc(C(=O)O)cc(Cl)n1,9.391403,9.777052
CCNC(C)C.O=C(O)Cc1ccc2c(c1)OCO2,3.2650218,9.758901
CCNC(C)C.O=C(O)c1ncccn1,12.223957,10.619515
CCNc1cccc(C)c1.Cc1c(C(=O)O)oc2ccccc12,7.261021,9.593574
CCNc1cccc(C)c1.O=C(O)COc1ccccc1,2.2747664,12.137753
CCNc1cccc(C)c1.O=C(O)Cc1ccc2c(c1)OCO2,2.581117,9.418125
CCNc1cccc(C)c1.O=C(O)c1ccc([N+](=O)[O-])s1,10.708401,10.197519
CCNc1cccc(C)c1.O=C(O)c1ccccc1Cc1ccccc1,6.9523125,8.547534
CCNc1cccc(C)c1.O=C(O)c1ncccn1,12.1444845,10.716548
CCNc1ccccc1.Cc1ccc(CC(=O)O)cc1,2.7733765,9.333967
CCNc1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,2.863827,8.785405
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2o1,7.2249994,10.646627
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2s1,7.911159,9.18867
CCOC(=O)c1cccc(N)c1.O=C(O)c1ccc([N+](=O)[O-])s1,10.597701,9.283589
CCOc1cc(N)ccn1.O=C(O)Cc1cc(F)cc(F)c1,-0.4400872,8.998332
CCc1cccc(N)c1.O=C(O)Cc1cc(F)cc(F)c1,-0.1767613,9.017716
CCc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,1.6460277,8.726574
CNOC.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,4.0628552,11.054308
CNOC.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,4.2492294,11.062082
CNOC.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,5.073839,11.880291
CNOC.CC1(C)C(C(=O)O)C1(C)C,4.9726033,11.197532
CNOC.COc1ccc(C(=O)O)cc1,5.105009,12.296111
CNOC.COc1ccc(CC(=O)O)cc1,3.8448465,11.287775
CNOC.COc1ncc(Br)cc1C(=O)O,5.045194,12.778639
CNOC.Cc1c(C(=O)O)oc2ccccc12,5.2111716,12.067948
CNOC.Cc1cc(C)cc(C(=O)O)c1,4.7969146,12.047439
CNOC.Cc1cccc(C)c1C(=O)O,4.2970934,11.820025
CNOC.Cn1cc(C(=O)O)c(C(F)F)n1,5.3875914,11.820587
CNOC.N#Cc1ccc(C(=O)O)cc1,5.851885,12.272011
CNOC.O=C(O)/C=C/c1ccccc1,5.7252693,12.06441
CNOC.O=C(O)C1C[C@H]1c1ccccc1,4.780739,11.860605
CNOC.O=C(O)COc1ccccc1,3.3910227,11.644251
CNOC.O=C(O)Cc1ccc(C(F)(F)F)cc1,4.1484523,11.843745
CNOC.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,4.127199,11.579749
CNOC.O=C(O)Cc1ccc2c(c1)OCO2,3.7758543,11.39282
CNOC.O=C(O)c1c[nH]c2ncccc12,5.1360703,12.007098
CNOC.O=C(O)c1cc(Cl)cc(Cl)n1,5.7261624,12.669186
CNOC.O=C(O)c1cc2ccccc2o1,5.5309772,12.705818
CNOC.O=C(O)c1cc2ccccc2s1,4.8823566,12.91993
CNOC.O=C(O)c1ccc(Br)s1,5.288591,12.512798
CNOC.O=C(O)c1ccc(F)cn1,5.341012,12.151386
CNOC.O=C(O)c1ccc([N+](=O)[O-])s1,5.398816,12.983644
CNOC.O=C(O)c1ccc2c(c1)OC(F)(F)O2,4.670393,12.574826
CNOC.O=C(O)c1ccc2nccnc2c1,4.6435237,12.648873
CNOC.O=C(O)c1cccc(-c2ccccc2)c1,4.718296,12.452128
CNOC.O=C(O)c1ccnc(C(F)(F)F)c1,5.3083754,12.692827
CNOC.O=C(O)c1ccncc1Cl,4.7539244,12.752118
CNc1ccc(F)cc1.COc1ccc(CC(=O)O)cc1,2.3218787,8.911083
CNc1ccc(F)cc1.Cc1cc(C(=O)O)cc(Cl)n1,10.163072,10.249222
CNc1ccc(F)cc1.Cc1ccc(CC(=O)O)cc1,2.5155206,9.496709
CNc1ccc(F)cc1.O=C(O)Cc1cc(F)cc(F)c1,0.28130484,8.902296
