,UMAP_1,UMAP_2
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,8.238573,4.8151827
C#CC(C)(C)N.Cc1ccc(F)cc1C(=O)O,7.444951,4.279004
C#CC(C)(C)N.O=C(O)C(c1ccccc1)c1ccccc1,0.12789634,1.20546
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,-1.0418055,-0.46101484
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,-1.2849166,5.201419
C#CC(C)(C)N.O=C(O)Cc1ccc(C(F)(F)F)cc1,-1.7692167,5.3538475
C#CC(C)(C)N.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.1970422,5.9233017
C#CC(C)(C)N.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-3.5545573,3.588372
C#CC(C)(C)N.O=C(O)c1ccc2nccnc2c1,9.215509,5.0343485
C#Cc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,11.184905,4.3425655
C#Cc1cccc(N)c1.Cc1ccc(CC(=O)O)cc1,1.7294877,4.6061788
C#Cc1cccc(N)c1.Cc1ccc2cc(C(=O)O)ccc2n1,9.09326,3.4814017
C#Cc1cccc(N)c1.O=C(O)C1c2ccccc2Oc2ccccc21,-0.83259153,-0.9255464
C#Cc1cccc(N)c1.O=C(O)COc1ccccc1,3.476532,6.9031577
C#Cc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,1.2900178,5.169332
C#Cc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,13.345404,4.139403
C#Cc1cccc(N)c1.O=C(O)c1ccc2nccnc2c1,9.945716,3.834034
C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1,0.8459338,3.8707032
C1CCNC1.Cc1ccc2cc(C(=O)O)ccc2n1,8.829542,4.615606
C1CCNC1.O=C(O)C(c1ccccc1)c1ccccc1,0.74563736,1.5425053
C1COCCN1.Cc1c(C(=O)O)oc2ccccc12,6.984369,2.3124464
C1COCCN1.Cc1ccc(CC(=O)O)cc1,1.9113071,2.8643513
C1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,0.8864823,1.113581
C1COCCN1.O=C(O)Cc1ccc2c(c1)OCO2,1.629627,2.766957
CC(=O)c1ccc(N)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,-2.1488144,1.7996302
CC(=O)c1ccc(N)cc1.CC1(C)C(C(=O)O)C1(C)C,5.7324767,3.4956448
CC(=O)c1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,1.36768,5.4530873
CC(=O)c1ccc(N)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,-1.7138681,1.8371093
CC(=O)c1ccc(N)cc1.Cc1cc(C(=O)O)cc(Cl)n1,11.01621,4.8815656
CC(=O)c1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,7.3038316,4.399697
CC(=O)c1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,-0.98641396,2.0645328
CC(=O)c1ccc(N)cc1.O=C(O)C1(c2ccccc2)CC1,0.19649172,1.9736503
CC(=O)c1ccc(N)cc1.O=C(O)COc1ccccc1,3.0274053,6.8056593
CC(=O)c1ccc(N)cc1.O=C(O)Cc1cc(F)cc(F)c1,-0.43012968,5.862187
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc(C(F)(F)F)cc1,-0.965694,6.21057
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-2.95029,4.4531913
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,1.1740277,5.8655376
CC(=O)c1ccc(N)cc1.O=C(O)c1c[nH]c2ncccc12,8.26081,3.137258
CC(=O)c1ccc(N)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,13.14041,3.9311817
CC(=O)c1ccc(N)cc1.O=C(O)c1cc2ccccc2o1,8.384261,1.6736766
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,13.402388,3.5705833
CC(=O)c1ccc(N)cc1.O=C(O)c1ccccc1Cc1ccccc1,6.8645544,4.536151
CC(=O)c1ccc(N)cc1.O=C(O)c1ccco1,9.629357,1.3094908
CC(C)NC(C)C.Cc1ccc(CC(=O)O)cc1,1.8967338,3.178005
