,UMAP_1,UMAP_2
C#CC(C)(C)N.CC(C)(C(=O)O)c1ccccc1,1.0783303,4.9769287
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,4.228537,11.262487
C#CC(C)(C)N.Cc1ccc(F)cc1C(=O)O,3.845531,10.643048
C#CC(C)(C)N.O=C(O)C(c1ccccc1)c1ccccc1,1.9429176,5.240263
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,2.3640475,2.2059438
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,-1.3095113,7.877245
C#CC(C)(C)N.O=C(O)Cc1ccc(C(F)(F)F)cc1,-1.4909079,8.432323
C#CC(C)(C)N.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-1.8293699,8.659275
C#CC(C)(C)N.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.1578518,9.962283
C#CC(C)(C)N.O=C(O)c1ccc2nccnc2c1,5.002096,12.083434
C#Cc1cccc(N)c1.COc1cc(C(=O)O)cc(OC)c1OC,4.3969674,9.965759
C#Cc1cccc(N)c1.Cc1c(C(=O)O)oc2ccccc12,7.001943,8.953151
C#Cc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,6.496501,12.133421
C#Cc1cccc(N)c1.Cc1ccc2cc(C(=O)O)ccc2n1,5.5106354,10.637066
C#Cc1cccc(N)c1.O=C(O)C1c2ccccc2Oc2ccccc21,2.497444,2.7506413
C#Cc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,-2.3820724,5.838992
C#Cc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,9.36951,12.960707
C#Cc1cccc(N)c1.O=C(O)c1ccc2nccnc2c1,6.0309086,11.427555
C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1,-1.5163003,6.5752373
C1CCNC1.Cc1ccc2cc(C(=O)O)ccc2n1,4.88522,11.256721
C1CCNC1.O=C(O)C(c1ccccc1)c1ccccc1,1.724216,5.5407763
C1COCCN1.Cc1c(C(=O)O)oc2ccccc12,6.288984,8.711362
C1COCCN1.Cc1ccc(CC(=O)O)cc1,-0.5608407,6.6096244
C1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,2.106854,5.550735
C1COCCN1.O=C(O)Cc1ccc2c(c1)OCO2,-0.05916972,6.659734
CC(=O)c1ccc(N)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,2.895155,3.6210375
CC(=O)c1ccc(N)cc1.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,1.401668,2.7133884
CC(=O)c1ccc(N)cc1.CC1(C)C(C(=O)O)C1(C)C,0.99667245,7.869506
CC(=O)c1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,-2.7422314,5.624846
CC(=O)c1ccc(N)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,2.325361,3.8847563
CC(=O)c1ccc(N)cc1.Cc1c(C(=O)O)oc2ccccc12,7.4844713,8.465022
CC(=O)c1ccc(N)cc1.Cc1ccc(CC(=O)O)cc1,-2.8757386,5.3839536
CC(=O)c1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,3.8377779,10.164564
CC(=O)c1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,2.7180524,4.5312543
CC(=O)c1ccc(N)cc1.O=C(O)C1(c2ccccc2)CC1,1.2962079,6.0764065
CC(=O)c1ccc(N)cc1.O=C(O)C1CCCN1C(=O)OCc1ccccc1,2.8848348,3.1152873
CC(=O)c1ccc(N)cc1.O=C(O)C1C[C@H]1c1ccccc1,1.0867568,7.193844
CC(=O)c1ccc(N)cc1.O=C(O)C1Cc2ccccc2C1,0.06269959,6.1037307
CC(=O)c1ccc(N)cc1.O=C(O)COc1ccccc1,-3.1361792,4.3674273
CC(=O)c1ccc(N)cc1.O=C(O)Cc1cc(F)cc(F)c1,-2.7453063,7.68757
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc(C(F)(F)F)cc1,-3.2133627,8.235695
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-2.2878935,10.508783
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,-2.748365,5.8059864
CC(=O)c1ccc(N)cc1.O=C(O)c1cc2ccccc2o1,7.961233,9.185517
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,9.751131,13.268586
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,7.0575895,12.01722
