,UMAP_1,UMAP_2
C#CC(C)(C)N.CC(C)(C(=O)O)c1ccccc1,2.5551124,2.6546822
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,1.6103926,8.977205
C#CC(C)(C)N.Cc1ccc(F)cc1C(=O)O,1.2164111,7.9603496
C#CC(C)(C)N.O=C(O)C(c1ccccc1)c1ccccc1,3.5984368,2.1115873
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,3.4789076,-0.15474135
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,-2.0820403,1.943797
C#CC(C)(C)N.O=C(O)Cc1ccc(C(F)(F)F)cc1,-2.665324,2.1418226
C#CC(C)(C)N.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.9525833,2.6254225
C#CC(C)(C)N.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-2.6935523,4.3623514
C#Cc1cccc(N)c1.CC(NC(=O)OCc1ccccc1)C(=O)O,1.5146855,0.7514397
C#Cc1cccc(N)c1.COc1cc(C(=O)O)cc(OC)c1OC,3.237535,8.025001
C#Cc1cccc(N)c1.Cc1c(C(=O)O)oc2ccccc12,5.06883,7.845558
C#Cc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,2.2001219,11.790887
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)c2ccccc12,2.8373344,7.143272
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,5.1816897,10.191198
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,3.4971013,8.841111
C#Cc1cccc(N)c1.Cc1ccc(CC(=O)O)cc1,-0.5565724,-0.48866048
C#Cc1cccc(N)c1.Cc1ccc2cc(C(=O)O)ccc2n1,2.8979475,8.990316
C#Cc1cccc(N)c1.O=C(O)COc1ccccc1,-1.5346291,-3.0923936
C#Cc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,-0.88472015,-0.025587087
C#Cc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,2.5390694,14.090512
C#Cc1cccc(N)c1.O=C(O)c1ccc2nccnc2c1,2.9104254,10.225755
C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1,-1.2725424,0.95601875
C1CCNC1.Cc1ccc2cc(C(=O)O)ccc2n1,2.193763,9.308314
C1CCNC1.O=C(O)C(c1ccccc1)c1ccccc1,3.4143453,2.288858
C1COCCN1.Cc1c(C(=O)O)oc2ccccc12,4.660434,7.3034854
C1COCCN1.Cc1ccc(CC(=O)O)cc1,-0.53464514,1.4265515
C1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,3.3115728,2.6702335
C1COCCN1.O=C(O)Cc1ccc2c(c1)OCO2,-0.58350474,1.6123644
CC(=O)c1ccc(N)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,2.3441513,0.70921695
CC(=O)c1ccc(N)cc1.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,1.6734887,-0.33929247
CC(=O)c1ccc(N)cc1.CC1(C)C(C(=O)O)C1(C)C,2.0147147,6.181101
CC(=O)c1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,-1.3072493,-0.635003
CC(=O)c1ccc(N)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,2.5793662,0.49973115
CC(=O)c1ccc(N)cc1.Cc1c(C(=O)O)oc2ccccc12,5.305029,8.086262
CC(=O)c1ccc(N)cc1.Cc1cc(C(=O)O)cc(Cl)n1,2.577884,11.347765
