,UMAP_1,UMAP_2
C#CC(C)(C)N.CC(C)(C(=O)O)c1ccccc1,3.547441,5.210155
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,11.896885,4.491204
C#CC(C)(C)N.Cc1ccc(F)cc1C(=O)O,11.751004,4.445007
C#CC(C)(C)N.O=C(O)C(c1ccccc1)c1ccccc1,2.8950677,6.1765256
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,1.5862986,4.990001
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,4.394637,8.789156
C#CC(C)(C)N.O=C(O)Cc1ccc(C(F)(F)F)cc1,4.193653,9.36223
C#CC(C)(C)N.O=C(O)Cc1ccc([N+](=O)[O-])cc1,3.8012712,9.933324
C#CC(C)(C)N.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,2.5276961,8.923526
C#CC(C)(C)N.O=C(O)c1ccc2nccnc2c1,12.913791,4.475332
C#Cc1cccc(N)c1.CC(NC(=O)OCc1ccccc1)C(=O)O,3.3788145,7.4407053
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)c2ccccc12,10.859601,3.0477874
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,12.569686,0.8166133
C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1,6.271333,7.812038
C1CCNC1.Cc1ccc2cc(C(=O)O)ccc2n1,12.623871,3.790918
C1CCNC1.O=C(O)C(c1ccccc1)c1ccccc1,3.743816,6.35117
C1COCCN1.Cc1c(C(=O)O)oc2ccccc12,9.275634,2.6752949
C1COCCN1.Cc1ccc(CC(=O)O)cc1,6.1911936,6.6724277
C1COCCN1.O=C(O)Cc1ccc2c(c1)OCO2,5.9315615,6.662047
CC(=O)c1ccc(N)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,2.2980103,7.6397343
CC(=O)c1ccc(N)cc1.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,2.1006868,5.4917874
