,UMAP_1,UMAP_2
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,11.93617,0.49135977
C#CC(C)(C)N.Cc1ccc(F)cc1C(=O)O,10.989402,0.6422919
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,-0.23973025,-4.773317
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,1.750931,0.45449567
C#CC(C)(C)N.O=C(O)Cc1ccc(C(F)(F)F)cc1,2.2151284,0.8837905
C#CC(C)(C)N.O=C(O)Cc1ccc([N+](=O)[O-])cc1,2.5162516,1.1915433
C#CC(C)(C)N.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,3.3421614,2.313879
C#CC(C)(C)N.O=C(O)c1ccc2nccnc2c1,12.8507395,0.33618078
C#Cc1cccc(N)c1.CC(NC(=O)OCc1ccccc1)C(=O)O,0.3746692,-2.5829396
C#Cc1cccc(N)c1.Cc1c(C(=O)O)oc2ccccc12,10.362663,-2.0393865
C#Cc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,14.220995,-0.50982934
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,11.532578,-0.04775825
C#Cc1cccc(N)c1.Cc1ccc(CC(=O)O)cc1,-0.7293042,0.29112667
C#Cc1cccc(N)c1.Cc1ccc2cc(C(=O)O)ccc2n1,12.340761,-0.71928734
C#Cc1cccc(N)c1.O=C(O)C1c2ccccc2Oc2ccccc21,-0.19742262,-4.1209955
C#Cc1cccc(N)c1.O=C(O)COc1ccccc1,-2.752248,2.4385955
C#Cc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,-1.2595458,0.4327597
C#Cc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,17.116766,-0.045941293
C#Cc1cccc(N)c1.O=C(O)c1ccc2nccnc2c1,13.135391,-0.549257
C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1,0.027051387,-0.40728328
C1CCNC1.Cc1ccc2cc(C(=O)O)ccc2n1,12.531932,-0.058038965
C1CCNC1.O=C(O)C(c1ccccc1)c1ccccc1,1.9597261,-2.40502
C1COCCN1.Cc1c(C(=O)O)oc2ccccc12,9.644393,-1.4713401
C1COCCN1.Cc1ccc(CC(=O)O)cc1,-0.17517947,-1.2240114
C1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,2.1967788,-2.5266206
C1COCCN1.O=C(O)Cc1ccc2c(c1)OCO2,0.33769476,-0.76625013
CC(=O)c1ccc(N)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,0.73424625,-3.3453915
