,UMAP_1,UMAP_2
C#CC(C)(C)N.CC(C)(C(=O)O)c1ccccc1,2.0483525,4.8859
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,3.047126,11.126092
C#CC(C)(C)N.Cc1ccc(F)cc1C(=O)O,1.8848151,11.004656
C#CC(C)(C)N.O=C(O)C(c1ccccc1)c1ccccc1,1.5557222,3.4137836
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,2.6490324,3.19208
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,-3.781122,5.692597
C#CC(C)(C)N.O=C(O)Cc1ccc(C(F)(F)F)cc1,-4.281722,5.3382435
C#CC(C)(C)N.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-3.9603467,3.1787212
C#CC(C)(C)N.O=C(O)c1ccc2nccnc2c1,2.0912786,11.879683
C#Cc1cccc(N)c1.CC(NC(=O)OCc1ccccc1)C(=O)O,0.29156926,5.2269855
C#Cc1cccc(N)c1.COc1cc(C(=O)O)cc(OC)c1OC,2.947971,9.437674
C#Cc1cccc(N)c1.Cc1c(C(=O)O)oc2ccccc12,6.2655087,9.432916
C#Cc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,0.55688804,12.500515
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)c2ccccc12,1.83441,9.096979
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,3.4035358,8.213838
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,1.5918134,9.970431
C#Cc1cccc(N)c1.Cc1ccc(CC(=O)O)cc1,-1.1909577,6.1566906
C#Cc1cccc(N)c1.Cc1ccc2cc(C(=O)O)ccc2n1,2.3000162,10.236361
C#Cc1cccc(N)c1.O=C(O)COc1ccccc1,-3.8140707,9.640332
C#Cc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,-1.0268766,6.038568
C#Cc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,-0.034218084,15.16679
C#Cc1cccc(N)c1.O=C(O)c1ccc2nccnc2c1,1.3729491,11.276042
C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1,-2.3203435,5.889699
C1CCNC1.Cc1ccc2cc(C(=O)O)ccc2n1,2.3058739,11.145983
C1CCNC1.O=C(O)C(c1ccccc1)c1ccccc1,0.9289824,2.9503317
C1COCCN1.Cc1c(C(=O)O)oc2ccccc12,5.431327,9.251577
C1COCCN1.Cc1ccc(CC(=O)O)cc1,-1.6443206,4.422826
C1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,0.7145721,3.1581032
