,UMAP_1,UMAP_2
C#CC(C)(C)N.CC(C)(C(=O)O)c1ccccc1,10.154052,-0.9358936
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,12.448165,3.9703214
C#CC(C)(C)N.Cc1ccc(F)cc1C(=O)O,11.784143,3.5961745
C#CC(C)(C)N.O=C(O)C(c1ccccc1)c1ccccc1,10.415838,-1.9551481
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,10.275511,-3.4060657
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,5.6754026,-1.6182022
C#CC(C)(C)N.O=C(O)Cc1ccc(C(F)(F)F)cc1,4.9849706,-1.0415611
C#CC(C)(C)N.O=C(O)Cc1ccc([N+](=O)[O-])cc1,4.500446,-0.8889132
C#CC(C)(C)N.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,6.7739964,0.2276323
C#CC(C)(C)N.O=C(O)c1ccc2nccnc2c1,12.524012,5.1375856
C#Cc1cccc(N)c1.COc1cc(C(=O)O)cc(OC)c1OC,12.995187,2.606716
C#Cc1cccc(N)c1.Cc1c(C(=O)O)oc2ccccc12,13.900915,0.77118117
C#Cc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,14.517321,5.883358
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)c2ccccc12,12.1669235,2.0154629
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,10.279727,4.5589004
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,13.239818,3.0487523
C#Cc1cccc(N)c1.Cc1ccc(CC(=O)O)cc1,5.8232336,-4.5978465
C#Cc1cccc(N)c1.Cc1ccc2cc(C(=O)O)ccc2n1,13.407206,3.592675
C#Cc1cccc(N)c1.O=C(O)COc1ccccc1,3.6499915,-5.517077
C#Cc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,5.6864476,-4.390536
C#Cc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,14.928471,7.9686446
C#Cc1cccc(N)c1.O=C(O)c1ccc2nccnc2c1,13.70441,4.2906504
C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1,6.5088916,-4.0261097
C1CCNC1.Cc1ccc2cc(C(=O)O)ccc2n1,12.97375,4.2448807
C1CCNC1.O=C(O)C(c1ccccc1)c1ccccc1,10.720768,-2.2676342
C1COCCN1.Cc1c(C(=O)O)oc2ccccc12,13.284879,0.78745866
C1COCCN1.Cc1ccc(CC(=O)O)cc1,7.231399,-3.898101
C1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,10.534126,-2.5837846
C1COCCN1.O=C(O)Cc1ccc2c(c1)OCO2,7.422903,-4.134889
CC(=O)c1ccc(N)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,8.309313,-1.9720898
CC(=O)c1ccc(N)cc1.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,8.555496,-3.5410938
CC(=O)c1ccc(N)cc1.CC1(C)C(C(=O)O)C1(C)C,10.293253,1.5711643
CC(=O)c1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,5.0180063,-4.1313124
CC(=O)c1ccc(N)cc1.Cc1c(C(=O)O)oc2ccccc12,14.074648,0.17912857
