,UMAP_1,UMAP_2
C#CC(C)(C)N.CC(C)(C(=O)O)c1ccccc1,5.0099754,6.548148
C#CC(C)(C)N.O=C(O)C(c1ccccc1)c1ccccc1,6.3175654,5.91318
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,3.8942006,5.876422
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,6.7384915,8.761514
C#CC(C)(C)N.O=C(O)Cc1ccc(C(F)(F)F)cc1,6.503393,9.20028
C#CC(C)(C)N.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,5.033659,10.987524
C#Cc1cccc(N)c1.CC(NC(=O)OCc1ccccc1)C(=O)O,6.527316,5.569701
C#Cc1cccc(N)c1.COc1cc(C(=O)O)cc(OC)c1OC,13.579825,3.3798742
C#Cc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,15.141037,4.6584277
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)c2ccccc12,12.98219,3.9215631
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,14.85049,6.011043
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,14.262843,3.8568964
C#Cc1cccc(N)c1.Cc1ccc(CC(=O)O)cc1,9.074489,8.254412
C#Cc1cccc(N)c1.O=C(O)COc1ccccc1,11.338085,9.347995
C#Cc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,8.997317,8.201139
C#Cc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,17.552588,5.892431
C#Cc1cccc(N)c1.O=C(O)c1ccc2nccnc2c1,14.571889,4.600127
C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1,7.817466,7.525527
C1CCNC1.Cc1ccc2cc(C(=O)O)ccc2n1,13.714898,5.1218286
C1COCCN1.Cc1ccc(CC(=O)O)cc1,7.681754,6.6801577
C1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,7.0757055,5.6260753
C1COCCN1.O=C(O)Cc1ccc2c(c1)OCO2,8.078097,6.282839
CC(=O)c1ccc(N)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,5.573178,4.615767
CC(=O)c1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,8.721389,9.194204
CC(=O)c1ccc(N)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,5.66344,4.2926707
CC(=O)c1ccc(N)cc1.Cc1ccc(CC(=O)O)cc1,8.8287735,8.918834
CC(=O)c1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,14.399228,4.0171432
CC(=O)c1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,5.8394833,5.1052475
CC(=O)c1ccc(N)cc1.O=C(O)C1(c2ccccc2)CC1,6.07239,6.2159357
CC(=O)c1ccc(N)cc1.O=C(O)COc1ccccc1,11.294812,9.226746
CC(=O)c1ccc(N)cc1.O=C(O)Cc1cc(F)cc(F)c1,8.459186,9.795519
