,UMAP_1,UMAP_2
C#CC(C)(C)N.CC(C)(C(=O)O)c1ccccc1,4.319904,5.52599
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,8.357752,1.1467915
C#CC(C)(C)N.Cc1ccc(F)cc1C(=O)O,7.9034977,1.3470155
C#CC(C)(C)N.O=C(O)C(c1ccccc1)c1ccccc1,4.94025,5.7522955
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,3.4276912,5.734701
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,6.735199,8.230519
C#CC(C)(C)N.O=C(O)Cc1ccc([N+](=O)[O-])cc1,6.6672807,9.273363
C#CC(C)(C)N.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,4.105605,9.108515
C#Cc1cccc(N)c1.COc1cc(C(=O)O)cc(OC)c1OC,8.597496,2.3817759
C#Cc1cccc(N)c1.Cc1c(C(=O)O)oc2ccccc12,10.163155,2.1548572
C#Cc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,6.372956,0.455263
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)c2ccccc12,7.990941,3.1464257
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,9.471673,2.9480944
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,7.8189607,1.815473
C#Cc1cccc(N)c1.Cc1ccc(CC(=O)O)cc1,8.842903,7.668348
C#Cc1cccc(N)c1.Cc1ccc2cc(C(=O)O)ccc2n1,7.1330733,2.209903
C#Cc1cccc(N)c1.O=C(O)COc1ccccc1,10.765992,10.611948
C#Cc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,8.493479,7.4453864
C#Cc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,5.504348,-2.372878
C#Cc1cccc(N)c1.O=C(O)c1ccc2nccnc2c1,6.7402806,1.3506244
C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1,8.586304,6.7906275
C1CCNC1.O=C(O)C(c1ccccc1)c1ccccc1,5.26088,5.6076045
C1COCCN1.Cc1c(C(=O)O)oc2ccccc12,9.825103,1.3020558
C1COCCN1.Cc1ccc(CC(=O)O)cc1,7.853145,6.1532626
C1COCCN1.O=C(O)Cc1ccc2c(c1)OCO2,7.5275106,6.179227
CC(=O)c1ccc(N)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,4.601606,7.559573
CC(=O)c1ccc(N)cc1.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,3.2648335,7.4738216
CC(=O)c1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,9.308564,7.8923054
CC(=O)c1ccc(N)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,4.7302575,7.7195706
CC(=O)c1ccc(N)cc1.Cc1cc(C(=O)O)cc(Cl)n1,5.677156,0.6925322
CC(=O)c1ccc(N)cc1.Cc1ccc(CC(=O)O)cc1,9.6797,7.5602093
CC(=O)c1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,6.6473036,2.939243
CC(=O)c1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,5.561022,6.7670593
CC(=O)c1ccc(N)cc1.O=C(O)C1(c2ccccc2)CC1,6.21439,5.2117414
CC(=O)c1ccc(N)cc1.O=C(O)C1CCCN1C(=O)OCc1ccccc1,4.159666,6.352812
CC(=O)c1ccc(N)cc1.O=C(O)C1C[C@H]1c1ccccc1,7.040821,4.374777
CC(=O)c1ccc(N)cc1.O=C(O)C1Cc2ccccc2C1,6.52428,7.351613
CC(=O)c1ccc(N)cc1.O=C(O)COc1ccccc1,10.846666,9.936543
CC(=O)c1ccc(N)cc1.O=C(O)Cc1cc(F)cc(F)c1,8.02686,8.979312
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc(C(F)(F)F)cc1,7.424409,9.204741
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,5.2390146,9.763361
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,9.539814,7.838133
CC(=O)c1ccc(N)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,5.6096425,-1.7993296
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,5.0045185,-1.7605832
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc2nccnc2c1,6.1348433,1.5173551
CC(=O)c1ccc(N)cc1.O=C(O)c1ccccc1Cc1ccccc1,7.7232695,3.0741003
CC(=O)c1ccc(N)cc1.O=C(O)c1ccco1,10.892748,3.3743908
CC(C)NC(C)C.Cc1ccc(CC(=O)O)cc1,8.297513,5.94051
CC(C)Nc1ccccc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,5.267772,9.250808
CC(C)Nc1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,9.266067,6.3769493
CC(C)Nc1ccccc1.O=C(O)c1ccc(C(F)(F)F)cn1,4.8183575,-1.8639667
CC1CCCNC1.O=C(O)c1cc(Cl)cc(Cl)n1,5.55436,-1.1185695
CC1COCCN1.COc1ccc(C(=O)O)cc1,7.6866107,1.0947392
CC1COCCN1.Cc1c(C(=O)O)oc2ccccc12,9.762096,1.3228688
CC1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,5.51081,5.459151
CCCCN1CCNCC1.COc1ccc(C(=O)O)cc1,7.848551,1.5824026
CCCCN1CCNCC1.Cc1c(C(=O)O)oc2ccccc12,10.181723,1.3215872
CCCCN1CCNCC1.Cc1cc(C(=O)O)cc(Cl)n1,7.4237995,0.23623648
CCCNC.Cc1c(C(=O)O)oc2ccccc12,9.908697,1.5812833
CCCNC.Cc1cc(C(=O)O)cc(Cl)n1,6.9661922,0.6765478
CCCNC.Cc1ccc(CC(=O)O)cc1,7.8378654,5.962074
CCCNC.O=C(O)C(c1ccccc1)c1ccccc1,5.84032,5.7716727
CCCNC.O=C(O)Cc1ccc2c(c1)OCO2,7.602517,5.7510734
CCCNC.O=C(O)c1cc(Cl)cc(Cl)n1,5.4641433,-0.91621435
CCNC(C)C.Cc1cc(C(=O)O)cc(Cl)n1,6.825043,0.38764942
CCNC(C)C.Cc1ccc2cc(C(=O)O)ccc2n1,7.3200116,0.8889454
CCNC(C)C.O=C(O)C(c1ccccc1)c1ccccc1,5.594098,5.604172
CCNC(C)C.O=C(O)Cc1ccc2c(c1)OCO2,8.152369,5.866117
CCNC(C)C.O=C(O)c1ncccn1,6.8227024,-2.636106
CCNc1cccc(C)c1.Cc1c(C(=O)O)oc2ccccc12,10.356234,1.7855396
CCNc1cccc(C)c1.O=C(O)COc1ccccc1,11.094266,10.050972
CCNc1cccc(C)c1.O=C(O)Cc1ccc2c(c1)OCO2,9.683442,6.1589885
CCNc1cccc(C)c1.O=C(O)c1cc(Cl)cc(Cl)n1,4.741576,-1.778478
CCNc1cccc(C)c1.O=C(O)c1ccc([N+](=O)[O-])s1,6.242846,0.94795555
CCNc1cccc(C)c1.O=C(O)c1ccccc1Cc1ccccc1,7.836899,3.0242543
CCNc1cccc(C)c1.O=C(O)c1ncccn1,6.443866,-2.6484857
CCNc1ccccc1.Cc1ccc(CC(=O)O)cc1,8.947809,6.309287
CCNc1ccccc1.Cc1ccc2cc(C(=O)O)ccc2n1,7.583914,1.6666876
CCNc1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,9.032787,6.1735144
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2o1,10.904348,1.0140963
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2s1,9.320634,1.4291147
CCOc1cc(N)ccn1.O=C(O)COc1ccccc1,10.852818,10.532278
CCOc1cc(N)ccn1.O=C(O)Cc1ccc2c(c1)OCO2,8.847806,7.4856057
CCc1cccc(N)c1.O=C(O)Cc1cc(F)cc(F)c1,7.3884597,8.631342
CNOC.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,4.55309,4.548258
CNOC.CC(C)(C(=O)O)c1ccccc1,4.7802486,4.318432
CNOC.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,4.4550877,2.6949058
CNOC.CC1(C)C(C(=O)O)C1(C)C,4.3993034,3.2197485
CNOC.COc1ccc(C(=O)O)cc1,4.673551,2.8856683
CNOC.COc1ccc(CC(=O)O)cc1,5.1862626,3.7025812
CNOC.COc1ccc2cc(C(C)C(=O)O)ccc2c1,4.700862,4.2435164
CNOC.COc1ncc(Br)cc1C(=O)O,4.0797567,3.1099875
CNOC.Cc1c(C(=O)O)oc2ccccc12,4.2143216,2.1279101
CNOC.Cc1cc(C)cc(C(=O)O)c1,3.8423624,2.940201
CNOC.Cn1cc(C(=O)O)c(C(F)F)n1,4.5780582,2.5973713
CNOC.N#Cc1ccc(C(=O)O)cc1,4.171456,2.1474526
CNOC.O=C(O)/C=C/c1ccccc1,4.6675024,2.3277268
CNOC.O=C(O)C1C[C@H]1c1ccccc1,4.475244,3.3435423
CNOC.O=C(O)C1Cc2ccccc2C1,4.685926,3.698771
CNOC.O=C(O)COc1ccccc1,5.0206327,3.8107808
CNOC.O=C(O)Cc1ccc(C(F)(F)F)cc1,4.516717,3.828295
CNOC.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,4.161808,4.1530313
CNOC.O=C(O)Cc1ccc2c(c1)OCO2,5.2181263,3.9218304
CNOC.O=C(O)c1c[nH]c2ncccc12,4.6970253,2.6977234
CNOC.O=C(O)c1cc(Cl)cc(Cl)n1,4.07426,2.233192
