,UMAP_1,UMAP_2
C#CC(C)(C)N.CC(C)(C(=O)O)c1ccccc1,6.6243076,3.6300373
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,12.5567465,3.0432842
C#CC(C)(C)N.Cc1ccc(F)cc1C(=O)O,12.067664,3.6837583
C#CC(C)(C)N.O=C(O)C(c1ccccc1)c1ccccc1,5.8548036,2.7338383
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,3.5493984,2.774274
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,6.930554,7.709136
C#CC(C)(C)N.O=C(O)Cc1ccc(C(F)(F)F)cc1,6.3604445,8.1027155
C#CC(C)(C)N.O=C(O)Cc1ccc([N+](=O)[O-])cc1,6.0431,8.293689
C#CC(C)(C)N.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,4.7217393,8.21212
C#Cc1cccc(N)c1.CC(NC(=O)OCc1ccccc1)C(=O)O,5.3743687,4.951549
C#Cc1cccc(N)c1.COc1cc(C(=O)O)cc(OC)c1OC,11.134622,2.2639263
C#Cc1cccc(N)c1.Cc1c(C(=O)O)oc2ccccc12,10.107139,-0.13732432
C#Cc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,14.009301,0.5111109
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,12.348709,0.24185288
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,11.931698,1.7729821
C#Cc1cccc(N)c1.Cc1ccc(CC(=O)O)cc1,8.922555,6.675256
C#Cc1cccc(N)c1.Cc1ccc2cc(C(=O)O)ccc2n1,12.58259,1.714958
C#Cc1cccc(N)c1.O=C(O)C1c2ccccc2Oc2ccccc21,2.721948,3.526092
C#Cc1cccc(N)c1.O=C(O)COc1ccccc1,9.182662,10.252427
C#Cc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,15.561509,-1.551343
C#Cc1cccc(N)c1.O=C(O)c1ccc2nccnc2c1,13.166423,1.3719617
C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1,8.1312275,6.0340633
C1CCNC1.Cc1ccc2cc(C(=O)O)ccc2n1,12.894556,2.2308648
C1CCNC1.O=C(O)C(c1ccccc1)c1ccccc1,6.5702486,2.9589736
C1COCCN1.Cc1c(C(=O)O)oc2ccccc12,9.727491,0.91086245
C1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,6.348612,2.8702745
C1COCCN1.O=C(O)Cc1ccc2c(c1)OCO2,8.678049,4.428535
CC(=O)c1ccc(N)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,4.3864155,4.531584
CC(=O)c1ccc(N)cc1.CC1(C)C(C(=O)O)C1(C)C,9.006122,3.7962499
CC(=O)c1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,9.717822,6.5363617
CC(=O)c1ccc(N)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,4.2710724,4.5660186
CC(=O)c1ccc(N)cc1.Cc1c(C(=O)O)oc2ccccc12,10.01392,-0.19885738
CC(=O)c1ccc(N)cc1.Cc1cc(C(=O)O)cc(Cl)n1,14.230106,0.9067495
CC(=O)c1ccc(N)cc1.Cc1ccc(CC(=O)O)cc1,9.200852,6.958624
CC(=O)c1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,11.24926,3.182454
CC(=O)c1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,5.3982625,4.584417
CC(=O)c1ccc(N)cc1.O=C(O)C1(c2ccccc2)CC1,7.4468737,4.074642
CC(=O)c1ccc(N)cc1.O=C(O)C1CCCN1C(=O)OCc1ccccc1,3.9141462,3.868281
CC(=O)c1ccc(N)cc1.O=C(O)C1C[C@H]1c1ccccc1,9.317508,3.3539462
CC(=O)c1ccc(N)cc1.O=C(O)C1Cc2ccccc2C1,7.1873817,5.4297066
CC(=O)c1ccc(N)cc1.O=C(O)COc1ccccc1,9.451277,10.105217
CC(=O)c1ccc(N)cc1.O=C(O)Cc1cc(F)cc(F)c1,6.780544,6.950764
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc(C(F)(F)F)cc1,6.3733244,7.016951
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,4.4015913,7.0957165
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,9.415076,6.732274
CC(=O)c1ccc(N)cc1.O=C(O)c1c[nH]c2ncccc12,11.308645,1.61072
CC(=O)c1ccc(N)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,15.001627,-2.161907
CC(=O)c1ccc(N)cc1.O=C(O)c1cc2ccccc2o1,10.797198,-0.26406315
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc2c(c1)OCCO2,11.388879,2.0303555
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc2nccnc2c1,13.354945,1.1669058
CC(=O)c1ccc(N)cc1.O=C(O)c1ccccc1Cc1ccccc1,11.211421,3.399042
