,UMAP_1,UMAP_2
CNOC.Cc1c(C(=O)O)oc2ccccc12,7.0080705,6.5100336
CNOC.Cc1cc(C)cc(C(=O)O)c1,5.9165306,6.4274664
CNOC.Cc1cccc(C)c1C(=O)O,5.653009,6.973459
CNOC.Cn1cc(C(=O)O)c(C(F)F)n1,6.636535,6.2598033
CNOC.N#Cc1ccc(C(=O)O)cc1,7.2054195,6.0516605
CNOC.O=C(O)/C=C/c1ccccc1,7.021894,5.9944873
CNOC.O=C(O)C1C[C@H]1c1ccccc1,5.913839,7.047722
CNOC.O=C(O)Cc1ccc(C(F)(F)F)cc1,5.6975374,7.39938
CNOC.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,5.2022266,7.79044
CNOC.O=C(O)Cc1ccc2c(c1)OCO2,5.725692,7.9812284
CNOC.O=C(O)c1cc(Cl)cc(Cl)n1,6.899564,5.819206
CNOC.O=C(O)c1cc2ccccc2o1,6.91907,6.688167
CNOC.O=C(O)c1cc2ccccc2s1,6.4579253,6.0632052
CNOC.O=C(O)c1ccc(-c2ccccc2)cc1,6.3187695,6.907506
CNOC.O=C(O)c1ccc(Br)s1,6.4009695,6.107471
CNOC.O=C(O)c1ccc(F)cn1,6.1106157,5.954947
CNOC.O=C(O)c1ccc([N+](=O)[O-])s1,6.176931,5.7837653
CNOC.O=C(O)c1ccc2c(c1)OC(F)(F)O2,6.1328673,6.389835
CNOC.O=C(O)c1ccc2nccnc2c1,5.6283307,6.26875
CNOC.O=C(O)c1cccc(-c2ccccc2)c1,6.483816,6.8587494
CNOC.O=C(O)c1ccccc1,6.6592355,5.5311956
CNOC.O=C(O)c1ccnc(C(F)(F)F)c1,6.074286,5.6094904
CNOC.O=C(O)c1ccncc1Cl,5.7230635,6.120035
CNc1ccc(F)cc1.COc1ccc(CC(=O)O)cc1,5.93302,10.994775
CNc1ccc(F)cc1.Cc1cc(C(=O)O)cc(Cl)n1,12.550171,8.380792
CNc1ccc(F)cc1.Cc1ccc(CC(=O)O)cc1,5.785,10.642631
CNc1ccc(F)cc1.O=C(O)Cc1cc(F)cc(F)c1,4.397085,12.690183
CNc1ccc(OC)cc1.COc1ccc(CC(=O)O)cc1,6.0587053,11.021782
CNc1ccc(OC)cc1.Cc1c(C(=O)O)oc2ccccc12,9.164803,8.837663
CNc1ccc(OC)cc1.O=C(O)C(c1ccccc1)c1ccccc1,3.0532534,8.273421
CNc1ccc(OC)cc1.O=C(O)Cc1cc(F)cc(F)c1,4.4839945,12.56778
CNc1ccc(OC)cc1.O=C(O)Cc1ccc2c(c1)OCO2,5.683619,11.197815
CNc1ccc(OC)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,11.76661,8.360603
CNc1ccc(OC)cc1.O=C(O)c1cnccn1,12.527781,7.2114463
CNc1ccc(OC)cc1.O=C(O)c1ncccn1,13.617007,7.8330746
COC(=O)c1cc(F)ccc1N.O=C(O)C(c1ccccc1)c1ccccc1,2.8710883,8.499544
COC(=O)c1cc(F)ccc1N.O=C(O)Cc1ccc(C(F)(F)F)cc1,3.6273332,14.109254
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.Cc1ccc(CC(=O)O)cc1,5.1567507,13.052609
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.Cc1ccc(F)cc1C(=O)O,10.6189375,11.497093
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.Cc1ccc2cc(C(=O)O)ccc2n1,11.318056,11.342026
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,2.0771239,12.263511
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.O=C(O)c1ccnc(C(F)(F)F)c1,11.708626,10.746985
COC(=O)c1ccc(N)cc1.COc1cc(C(=O)O)cc(OC)c1OC,9.461838,10.156361
COC(=O)c1ccc(N)cc1.Cc1ccc(C(=O)O)c2ccccc12,9.448099,10.19157
COC(=O)c1ccc(N)cc1OC.O=C(O)COc1ccccc1,6.3603773,14.215206
COC(=O)c1ccc(N)cc1OC.O=C(O)Cc1ccc2c(c1)OCO2,5.652209,12.848998
COC(=O)c1ccc(N)cc1OC.O=C(O)c1ccc(C(F)(F)F)cn1,13.390372,6.744411
COCCN1CCNCC1.Cc1ccc(CC(=O)O)cc1,5.1662807,10.299111
COc1ccc(CN)cc1.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1.0191067,9.32735
COc1ccc(CN)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,0.9605277,8.928738
COc1ccc(CN)cc1.CC(C)(C(=O)O)c1ccccc1,2.4385376,9.9275255
COc1ccc(CN)cc1.CC(C)Cc1ccc(C(C)C(=O)O)cc1,1.5224624,9.119601
COc1ccc(CN)cc1.COc1cc(C(=O)O)cc(OC)c1OC,10.017448,10.612938
COc1ccc(CN)cc1.COc1ccc(CC(=O)O)cc1,3.7088845,11.506809
COc1ccc(CN)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,1.2409143,9.346414
COc1ccc(CN)cc1.Cc1cc(C)cc(C(=O)O)c1,10.567507,10.530699
COc1ccc(CN)cc1.Cc1cccc(C)c1C(=O)O,7.9700356,11.41846
COc1ccc(CN)cc1.O=C(O)C(c1ccccc1)c1ccccc1,2.4388714,8.889453
COc1ccc(CN)cc1.O=C(O)C1(c2ccccc2)CC1,3.204258,9.382631
COc1ccc(CN)cc1.O=C(O)C1c2ccccc2Oc2ccccc21,1.1668136,7.849657
COc1ccc(CN)cc1.O=C(O)Cc1cc(F)cc(F)c1,3.270127,12.386366
COc1ccc(N)cc1.Cc1ccc(C(=O)O)cc1F,10.482401,9.025421
COc1ccc(N)cc1.Cc1cccc(C)c1C(=O)O,8.119781,11.169352
COc1ccc(N)cc1.Cn1cc(C(=O)O)c(C(F)F)n1,10.623197,7.7374296
COc1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,13.11691,6.4364247
COc1ccc(N)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,12.143367,8.825386
COc1ccc(N)cc1.O=C(O)c1cnccn1,12.838775,7.5635014
COc1ccc(N)cc1C.CC(C)(C(=O)O)c1ccccc1,2.7764502,9.5666275
COc1ccc(N)cc1C.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,9.797606,9.900281
COc1ccc(N)cc1C.COc1ccc2cc(C(C)C(=O)O)ccc2c1,1.4057704,9.590277
COc1ccc(N)cc1C.COc1ncc(Br)cc1C(=O)O,13.134187,10.48915
COc1ccc(N)cc1C.Cc1c(C(=O)O)oc2ccccc12,9.242831,8.640237
COc1ccc(N)cc1C.Cc1cc(C(=O)O)cc(Cl)n1,11.886521,8.37091
COc1ccc(N)cc1C.Cc1ccc(C(=O)O)c2ccccc12,9.095747,9.732774
COc1ccc(N)cc1C.Cc1ccc(C(=O)O)cc1,10.686487,7.9649787
COc1ccc(N)cc1C.Cc1ccc(F)cc1C(=O)O,9.015041,10.27417
COc1ccc(N)cc1C.O=C(O)Cc1ccc([N+](=O)[O-])cc1,3.0569353,14.113528
COc1ccc(N)cc1C.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,1.4496387,12.09571
COc1ccc(N)cc1C.O=C(O)c1cc(Cl)cc(Cl)n1,13.553527,6.5836987
COc1ccc(N)cc1C.O=C(O)c1cc2ccccc2o1,9.686096,7.9880114
COc1ccc(N)cc1C.O=C(O)c1cc2ccccc2s1,9.9767475,9.110528
COc1ccc(N)cc1C.O=C(O)c1ccc([N+](=O)[O-])s1,11.857192,8.507334
COc1ccc(N)cc1C.O=C(O)c1ccc2c(c1)OC(F)(F)O2,10.755245,8.527689
COc1ccc(N)cc1C.O=C(O)c1ccnc(C(F)(F)F)c1,12.26937,8.452591
COc1ccc(N)cc1C.O=C(O)c1cnccn1,12.817907,7.320875
COc1ccc(N)cc1OC.O=C(O)C1C[C@H]1c1ccccc1,7.111351,10.180131
COc1ccc(N)cc1OC.O=C(O)COc1ccccc1,6.602764,14.4112625
COc1ccc(N)cc1OC.O=C(O)Cc1cc(F)cc(F)c1,4.13357,13.267054
COc1ccc(N)cc1OC.O=C(O)Cc1ccc(C(F)(F)F)cc1,3.6611664,14.012191
COc1ccc(N)cc1OC.O=C(O)c1ccc(F)cn1,12.733213,6.4172072
COc1ccc(N)cn1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,1.7222066,8.873329
COc1ccc(N)cn1.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,1.856528,7.1769905
COc1ccc(N)cn1.CC(C)Cc1ccc(C(C)C(=O)O)cc1,1.9551406,9.09865
COc1ccc(N)cn1.COc1ccc(CC(=O)O)cc1,5.252283,11.734289
COc1ccc(N)cn1.COc1ncc(Br)cc1C(=O)O,13.187995,10.604918
COc1ccc(N)cn1.Cc1cc(C(=O)O)cc(Cl)n1,12.313138,8.694705
COc1ccc(N)cn1.Cc1ccc(CC(=O)O)cc1,4.981574,11.636717
COc1ccc(N)cn1.Cc1ccc(F)cc1C(=O)O,9.5006895,10.177701
COc1ccc(N)cn1.O=C(O)C1(c2ccccc2)CC1,3.520376,9.297174
COc1ccc(N)cn1.O=C(O)C1CCCN1C(=O)OCc1ccccc1,1.1277469,8.098382
COc1ccc(N)cn1.O=C(O)C1CN(C(=O)OCc2ccccc2)C1,2.5698383,10.168386
COc1ccc(N)cn1.O=C(O)C1Cc2ccccc2C1,3.9670386,10.376527
COc1ccc(N)cn1.O=C(O)COc1ccccc1,6.2627807,15.02945
COc1ccc(N)cn1.O=C(O)Cc1cc(F)cc(F)c1,3.6477742,13.027405
COc1ccc(N)cn1.O=C(O)Cc1ccc([N+](=O)[O-])cc1,2.6282861,14.015222
COc1ccc(N)cn1.O=C(O)Cc1ccc2c(c1)OCO2,5.963876,11.63955
COc1ccc(N)cn1.O=C(O)c1cc2ccccc2o1,9.75813,8.293181
COc1ccc(N)cn1.O=C(O)c1cc2ccccc2s1,10.265833,9.220083
COc1ccc(N)cn1.O=C(O)c1ccc(Br)s1,12.322325,11.02132
COc1ccc(N)cn1.O=C(O)c1ccc2nccnc2c1,11.644087,9.062388
COc1ccc(N)cn1.O=C(O)c1cccc(-c2ccccc2)c1,9.778822,10.006631
COc1ccc(N)cn1.O=C(O)c1cnccn1,12.979191,7.4298763
COc1ccc(S(N)(=O)=O)cc1.COc1ccc(CC(=O)O)cc1,4.9185658,12.720935
COc1ccc(S(N)(=O)=O)cc1.Cc1ccc(F)cc1C(=O)O,10.254892,11.40245
COc1ccc(S(N)(=O)=O)cc1.Cc1ccc2cc(C(=O)O)ccc2n1,11.073014,11.339202
COc1ccc(S(N)(=O)=O)cc1.O=C(O)c1ccnc(C(F)(F)F)c1,12.226459,10.206212
CSc1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,2.3528602,7.980378
CSc1ccc(N)cc1.O=C(O)Cc1ccc([N+](=O)[O-])cc1,2.959997,14.196644
CSc1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,5.8319955,12.059912
CSc1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,13.005748,6.8832884
CSc1cccc(N)c1.COc1ccc(CC(=O)O)cc1,5.4968276,12.151787
CSc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,12.626792,9.034645
CSc1cccc(N)c1.O=C(O)COc1ccccc1,5.9195223,14.725399
CSc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,5.542102,12.027196
CSc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,13.412376,6.6695447
C[C@@H](N)c1ccccc1.Cc1cc(C(=O)O)cc(Cl)n1,12.088541,9.375787
C[C@@H](N)c1ccccc1.O=C(O)/C=C/c1ccccc1,10.809158,6.9548955
C[C@@H](N)c1ccccc1.O=C(O)C1c2ccccc2Oc2ccccc21,0.92155147,7.4086747
C[C@@H](N)c1ccccc1.O=C(O)c1ccc2nccnc2c1,11.458764,9.922034
C[C@@H](N)c1ccccc1.O=C(O)c1ccco1,10.060255,6.8130894
C[C@H](N)c1cccc2ccccc12.COc1ncc(Br)cc1C(=O)O,12.554362,10.839868
C[C@H](N)c1cccc2ccccc12.O=C(O)C1Cc2ccccc2C1,3.3192918,10.637412
C[C@H](N)c1cccc2ccccc12.O=C(O)Cc1ccc2c(c1)OCO2,4.331059,11.900746
C[C@H](N)c1cccc2ccccc12.O=C(O)c1cc2ccccc2o1,9.514796,8.458552
C[C@H](N)c1cccc2ccccc12.O=C(O)c1cc2ccccc2s1,10.466634,10.272992
C[C@H](N)c1cccc2ccccc12.O=C(O)c1ccc2c(c1)OCCO2,10.298165,10.940834
C[C@H](N)c1cccc2ccccc12.O=C(O)c1ccc2nccnc2c1,11.7452135,10.199947
C[C@H](N)c1cccc2ccccc12.O=C(O)c1ncccn1,13.540291,8.040983
Cc1ccc(CN)cc1.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,10.242574,10.544383
Cc1ccc(CN)cc1.COc1ccc(CC(=O)O)cc1,4.020423,11.386542
Cc1ccc(CN)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,0.8623228,9.766044
Cc1ccc(CN)cc1.COc1ncc(Br)cc1C(=O)O,12.814524,11.040212
Cc1ccc(CN)cc1.Cc1cc(C(=O)O)cc(Cl)n1,12.379057,9.632666
Cc1ccc(CN)cc1.Cc1cc(C)c(C(=O)O)c(C)c1,8.355176,11.542552
Cc1ccc(CN)cc1.Cc1cc(C)cc(C(=O)O)c1,10.400613,10.5352335
Cc1ccc(CN)cc1.Cc1cccc(C)c1C(=O)O,8.2771635,11.496028
Cc1ccc(CN)cc1.N#Cc1ccc(C(=O)O)cc1,11.173439,7.9451227
Cc1ccc(CN)cc1.O=C(O)/C=C/c1ccccc1,10.399404,7.292851
Cc1ccc(CN)cc1.O=C(O)C(c1ccccc1)c1ccccc1,2.20607,8.606913
Cc1ccc(CN)cc1.O=C(O)C1c2ccccc2Oc2ccccc21,0.94244605,7.2474103
Cc1ccc(CN)cc1.O=C(O)COc1ccccc1,5.915428,14.061821
Cc1ccc(CN)cc1.O=C(O)Cc1ccc([N+](=O)[O-])cc1,2.4072766,13.56642
Cc1ccc(CN)cc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,1.0019816,11.774187
Cc1ccc(CN)cc1.O=C(O)Cc1ccc2c(c1)OCO2,3.854543,11.62428
Cc1ccc(CN)cc1.O=C(O)c1cc2ccccc2o1,10.018392,8.148975
Cc1ccc(CN)cc1.O=C(O)c1cc2ccccc2s1,10.793526,9.866603
Cc1ccc(CN)cc1.O=C(O)c1ccc(Br)s1,11.9952545,10.94071
Cc1ccc(CN)cc1.O=C(O)c1ccc([N+](=O)[O-])cc1,12.179957,9.370915
Cc1ccc(CN)cc1.O=C(O)c1ccc2c(c1)OCCO2,10.23019,10.043248
Cc1ccc(CN)cc1.O=C(O)c1ccc2nccnc2c1,11.602506,9.686992
Cc1ccc(CN)cc1.O=C(O)c1ncccn1,13.97157,7.778361
Cc1ccc(Cl)c(N)c1.O=C(O)Cc1cc(F)cc(F)c1,4.1961293,13.613245
Cc1ccc(Cl)c(N)c1.O=C(O)Cc1ccc([N+](=O)[O-])cc1,2.7894955,14.369774
Cc1ccc(Cl)c(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,6.179333,11.674061
Cc1ccc(N)c(C)c1.COc1cc(C(=O)O)cc(OC)c1OC,9.150448,9.437084
Cc1ccc(N)c(C)c1.COc1ccc(CC(=O)O)cc1,5.455335,11.49677
Cc1ccc(N)c(C)c1.COc1ncc(Br)cc1C(=O)O,13.565535,10.710941
Cc1ccc(N)c(C)c1.Cc1ccc(CC(=O)O)cc1,5.235092,11.054656
Cc1ccc(N)c(C)c1.O=C(O)COc1ccccc1,6.3580947,14.662624
Cc1ccc(N)c(C)c1.O=C(O)Cc1ccc2c(c1)OCO2,5.4868946,11.486067
Cc1ccc(N)c(C)c1.O=C(O)c1ccc2nccnc2c1,11.430827,8.758224
Cc1ccc(N)cc1.COc1ncc(Br)cc1C(=O)O,13.326698,10.704777
Cc1ccc(N)cc1.Cc1cc(C(=O)O)cc(Cl)n1,12.186154,8.866574
Cc1ccc(N)cc1.O=C(O)C1Cc2ccccc2C1,4.1978965,10.422743
Cc1ccc(N)cc1.O=C(O)Cc1ccc([N+](=O)[O-])cc1,2.7711637,13.839824
Cc1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,5.090736,11.254148
Cc1ccc(N)cc1.O=C(O)c1cc2ccccc2s1,10.434524,8.762012
Cc1ccc(N)cc1.O=C(O)c1ccc2c(c1)OCCO2,9.542583,9.307511
Cc1ccc(N)cc1.O=C(O)c1ccc2nccnc2c1,11.33955,8.776939
Cc1ccc(N)cc1.O=C(O)c1ncccn1,13.884612,7.7837176
Cc1ccc(N)nc1.O=C(O)Cc1ccc2c(c1)OCO2,5.681081,11.99007
Cc1ccc(Oc2ccc(N)cc2)cc1.Cc1cc(C)c(C(=O)O)c(C)c1,8.507202,11.170524
Cc1ccc(Oc2ccc(N)cc2)cc1.O=C(O)C1CCCN1C(=O)OCc1ccccc1,1.6731193,8.320663
Cc1ccc(Oc2ccc(N)cc2)cc1.O=C(O)C1C[C@H]1c1ccccc1,7.2707872,10.6377535
Cc1ccc(Oc2ccc(N)cc2)cc1.O=C(O)Cc1ccc(C(F)(F)F)cc1,3.7494743,13.693627
Cc1ccc(Oc2ccc(N)cc2)cc1.O=C(O)Cc1ccc2c(c1)OCO2,5.978849,12.410753
Cc1ccc(Oc2ccc(N)cc2)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,13.0629225,6.5726213
Cc1ccc(Oc2ccc(N)cc2)cc1.O=C(O)c1ccc(F)cn1,12.480697,6.796868
Cc1ccc([N+](=O)[O-])cc1N.O=C(O)Cc1ccc2c(c1)OCO2,5.443587,12.62628
Cc1ccc2cccc(N)c2n1.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1.7856907,9.118892
Cc1ccc2cccc(N)c2n1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,1.4750909,8.925989
Cc1ccc2cccc(N)c2n1.COc1ccc(CC(=O)O)cc1,5.8710856,12.555357
Cc1ccc2cccc(N)c2n1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,1.2910045,8.741861
Cc1ccc2cccc(N)c2n1.COc1ncc(Br)cc1C(=O)O,13.382504,11.085618
Cc1ccc2cccc(N)c2n1.Cc1ccc(CC(=O)O)cc1,5.607327,11.980432
Cc1ccc2cccc(N)c2n1.Cc1ccc(F)cc1C(=O)O,9.202313,10.520647
Cc1ccc2cccc(N)c2n1.N#Cc1ccc(C(=O)O)cc1,11.286154,7.681804
Cc1ccc2cccc(N)c2n1.O=C(O)COc1ccccc1,6.1079,15.087465
Cc1ccc2cccc(N)c2n1.O=C(O)Cc1ccc(C(F)(F)F)cc1,3.5546985,14.159858
Cc1ccc2cccc(N)c2n1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,1.2233505,12.384703
Cc1ccc2cccc(N)c2n1.O=C(O)Cc1ccc2c(c1)OCO2,6.34962,12.556072
Cc1ccc2cccc(N)c2n1.O=C(O)c1cc(Cl)cc(Cl)n1,13.147533,6.171528
Cc1ccc2cccc(N)c2n1.O=C(O)c1cc2ccccc2s1,9.837723,9.116991
Cc1ccc2cccc(N)c2n1.O=C(O)c1ccc(F)cn1,12.6844845,6.810795
Cc1ccc2cccc(N)c2n1.O=C(O)c1ccc2c(c1)OCCO2,9.542409,9.716727
Cc1ccc2cccc(N)c2n1.O=C(O)c1ccc2nccnc2c1,10.840941,9.120106
Cc1ccc2cccc(N)c2n1.O=C(O)c1ncccn1,14.097376,7.4158525
Cc1cccc(N)c1C.Cc1ccc(C(=O)O)cc1F,10.252044,9.197126
Cc1cccc(N)c1C.O=C(O)Cc1ccc2c(c1)OCO2,5.6285667,11.491363
Cc1ccccc1N.COc1ccc(CC(=O)O)cc1,5.214949,11.441543
Cc1ccccc1N.COc1ncc(Br)cc1C(=O)O,13.431001,10.495914
Cc1ccccc1N.Cc1cc(C(=O)O)cc(Cl)n1,12.323574,8.825528
Cc1ccccc1N.Cc1ccc(C(=O)O)c2ccccc12,9.589609,9.691972
Cc1ccccc1N.Cc1ccc(C(=O)O)cc1,10.930588,7.588103
Cc1ccccc1N.O=C(O)C1c2ccccc2Oc2ccccc21,1.0550767,7.349541
Cc1ccccc1N.O=C(O)Cc1ccc2c(c1)OCO2,5.107846,11.878754
Cc1ccccc1N.O=C(O)c1ccc2c(c1)OC(F)(F)O2,10.898611,8.902639
Cc1cn(-c2cc(N)cc(C(F)(F)F)c2)cn1.COc1cc(C(=O)O)cc(OC)c1OC,9.972845,10.9677305
Cc1cn(-c2cc(N)cc(C(F)(F)F)c2)cn1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,1.8143712,12.589852
Cn1c(N)nc2ccccc21.Cn1cc(C(=O)O)c(C(F)F)n1,10.124001,7.7938004
Cn1c(N)nc2ccccc21.O=C(O)C1CC=CCC1,6.770162,11.590538
Cn1c(N)nc2ccccc21.O=C(O)C1c2ccccc2Oc2ccccc21,1.5840094,7.3474455
Cn1c(N)nc2ccccc21.O=C(O)c1cc2ccccc2o1,9.537819,7.950045
