Cc1ccc(Oc2ccc(NC(=O)Cc3ccc4c(c3)OCO4)cc2)cc1,Cc1ccc(Oc2ccc(N)cc2)cc1.O=C(O)Cc1ccc2c(c1)OCO2
O=C(NC1CCCCC1)c1ccc2nccnc2c1,NC1CCCCC1.O=C(O)c1ccc2nccnc2c1
O=C(Nc1ccc(F)nc1)C(c1ccccc1)c1ccccc1,Nc1ccc(F)nc1.O=C(O)C(c1ccccc1)c1ccccc1
COc1ccc(N(C)C(=O)c2oc3ccccc3c2C)cc1,CNc1ccc(OC)cc1.Cc1c(C(=O)O)oc2ccccc12
CON(C)C(=O)C(C)c1ccc(-c2ccccc2)c(F)c1,CNOC.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
CN(C(=O)c1ccc2nccnc2c1)c1ccc(F)cc1,CNc1ccc(F)cc1.O=C(O)c1ccc2nccnc2c1
O=C(COc1ccccc1)Nc1ccc2c(c1)OCCO2,Nc1ccc2c(c1)OCCO2.O=C(O)COc1ccccc1
CC1CCCN(C(=O)Cc2ccc3c(c2)OCO3)C1,CC1CCCNC1.O=C(O)Cc1ccc2c(c1)OCO2
Cc1cc(C(=O)N(c2ccccc2)C(C)C)cc(Cl)n1,CC(C)Nc1ccccc1.Cc1cc(C(=O)O)cc(Cl)n1
CC(=O)c1ccc(NC(=O)c2ccccc2Cc2ccccc2)cc1,CC(=O)c1ccc(N)cc1.O=C(O)c1ccccc1Cc1ccccc1
COc1ccc(CC(=O)Nc2ccc(C)cc2C)cc1,Cc1ccc(N)c(C)c1.COc1ccc(CC(=O)O)cc1
CCN(C(=O)C(c1ccccc1)c1ccccc1)C(C)C,CCNC(C)C.O=C(O)C(c1ccccc1)c1ccccc1
Cc1ccccc1NC(=O)c1ccc2nccnc2c1,Cc1ccccc1N.O=C(O)c1ccc2nccnc2c1
O=C(Cc1ccc2c(c1)OCO2)Nc1ccc2scnc2c1,Nc1ccc2scnc2c1.O=C(O)Cc1ccc2c(c1)OCO2
CC(C)(C(=O)NCc1cccc2ccccc12)c1ccccc1,NCc1cccc2ccccc12.CC(C)(C(=O)O)c1ccccc1
Cc1ccc(Oc2ccc(NC(=O)c3ccc(C(F)(F)F)cn3)cc2)cc1,Cc1ccc(Oc2ccc(N)cc2)cc1.O=C(O)c1ccc(C(F)(F)F)cn1
O=C(NS(=O)(=O)c1cc(F)cc(F)c1)c1ccnc(C(F)(F)F)c1,NS(=O)(=O)c1cc(F)cc(F)c1.O=C(O)c1ccnc(C(F)(F)F)c1
Cc1ccc(Oc2ccc(NC(=O)C3CCC(F)(F)CC3)cc2)cc1,Cc1ccc(Oc2ccc(N)cc2)cc1.O=C(O)C1CCC(F)(F)CC1
Cc1ccc(CNC(=O)c2ncccn2)cc1,Cc1ccc(CN)cc1.O=C(O)c1ncccn1
COc1ccc(N(C)C(=O)c2cnccn2)cc1,CNc1ccc(OC)cc1.O=C(O)c1cnccn1
CON(C)C(=O)/C=C/c1ccccc1,CNOC.O=C(O)/C=C/c1ccccc1
CC(=O)c1ccc(NC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)cc1,CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2
CCOC(=O)c1cccc(NC(=O)c2ccc([N+](=O)[O-])s2)c1,CCOC(=O)c1cccc(N)c1.O=C(O)c1ccc([N+](=O)[O-])s1
COc1ccc(NC(=O)Cc2ccc([N+](=O)[O-])cc2)cc1C,COc1ccc(N)cc1C.O=C(O)Cc1ccc([N+](=O)[O-])cc1
CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,CC(=O)c1ccc(N)cc1.Cc1ccc(CC(=O)O)cc1
O=C(Cc1cc(F)cc(F)c1)Nc1ccc2c(c1)OCCO2,Nc1ccc2c(c1)OCCO2.O=C(O)Cc1cc(F)cc(F)c1
C#Cc1cccc(NC(=O)c2cc(OC)c(OC)c(OC)c2)c1,C#Cc1cccc(N)c1.COc1cc(C(=O)O)cc(OC)c1OC
CC(=O)c1ccc(NC(=O)c2ccc3nccnc3c2)cc1,CC(=O)c1ccc(N)cc1.O=C(O)c1ccc2nccnc2c1
CC(=O)c1ccc(NC(=O)COc2ccccc2)cc1,CC(=O)c1ccc(N)cc1.O=C(O)COc1ccccc1
CC(=O)c1ccc(NC(=O)C2C[C@H]2c2ccccc2)cc1,CC(=O)c1ccc(N)cc1.O=C(O)C1C[C@H]1c1ccccc1
CON(C)C(=O)c1ccnc(C(F)(F)F)c1,CNOC.O=C(O)c1ccnc(C(F)(F)F)c1
CCCN(C)C(=O)Cc1ccc2c(c1)OCO2,CCCNC.O=C(O)Cc1ccc2c(c1)OCO2
COc1ccc(S(=O)(=O)NC(=O)c2ccnc(C(F)(F)F)c2)cc1,COc1ccc(S(N)(=O)=O)cc1.O=C(O)c1ccnc(C(F)(F)F)c1
O=C(NCc1ccc2c(c1)OCO2)c1ccc(C(F)(F)F)cn1,NCc1ccc2c(c1)OCO2.O=C(O)c1ccc(C(F)(F)F)cn1
COc1ccc(CNC(=O)C(C)(C)c2ccccc2)cc1,COc1ccc(CN)cc1.CC(C)(C(=O)O)c1ccccc1
O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)NCc1ccccc1C(F)(F)F,NCc1ccccc1C(F)(F)F.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2
CCN(C(=O)Cc1ccc2c(c1)OCO2)C(C)C,CCNC(C)C.O=C(O)Cc1ccc2c(c1)OCO2
COc1ccc(NC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)cc1C,COc1ccc(N)cc1C.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2
Cc1ccc(CNC(=O)C2c3ccccc3Oc3ccccc32)cc1,Cc1ccc(CN)cc1.O=C(O)C1c2ccccc2Oc2ccccc21
O=C(NCc1ccc(Cl)cc1)c1ccc2c(c1)OCCO2,NCc1ccc(Cl)cc1.O=C(O)c1ccc2c(c1)OCCO2
