C[C@@H](NC(=O)OC(C)(C)C)c1ccc(Br)cc1
CCOC(=O)c1nnc(Br)[nH]1
O=C(c1cc2cc(Br)cnc2s1)N1CCOCC1
COc1ccccc1Br
Cc1ccccc1Br
Cc1cc(C)c(Br)c(C)c1
COc1cccc(Br)c1
CC(=O)c1cccc(Br)c1
CC(=O)Nc1ccc(Br)cc1
Cc1ccc(Br)cc1
Fc1ccccc1Br
Fc1ccc(Br)cc1
Clc1ccccc1Br
Clc1ccc(Br)cc1
N#Cc1cccc(Br)c1
Oc1ccccc1Br
Oc1cccc(Br)c1
Oc1ccc(Br)cc1
C[C@H](O)c1ccccc1Br
CC(O)c1ccc(Br)cc1
OCc1ccc(Br)cc1
Brc1nccs1
O=c1[nH]cc(Br)c(=O)[nH]1
Brc1cncnc1
Brc1cccnc1
Brc1cncc2ccccc12
O=[N+]([O-])c1cc(-c2ccccc2)ccc1Br
NCCc1ccc(Br)cc1
O=C(O)c1cncc(Br)c1
CCOC(=O)/C=C/c1ccc(Br)cc1
Nc1ncc(Br)cn1
Brc1ncccn1
CCOC(=O)c1ccc(Br)cc1
CCOC(=O)Cc1ccc(Br)cc1
CCc1cccc(CC)c1Br
CN(C)S(=O)(=O)c1ccc(Br)cc1
O=C(Nc1ccc(Cl)cc1)c1cc(Br)ccc1O
CCOC(=O)c1cc2cc(Br)ccc2[nH]1
CS(=O)(=O)c1ccc(Br)cc1
CC(C)c1ccc(Br)cc1
FC(F)(F)Sc1ccc(Br)cc1
Brc1ccc(-c2nnc(-c3ccccc3)o2)cc1
CC(C)c1ccccc1Br
Fc1cc(Br)ccc1-c1ccccc1
CC(=O)Nc1ccc(C(C)=O)cc1Br
CC(=O)N1CCc2cc(Br)ccc21
FC(F)(F)c1cc(Br)c2nc[nH]c2c1
Cc1ccnc(Br)c1
Cc1ccncc1Br
COC(=O)c1ccc(Br)o1
Brc1ccc2oc3ccccc3c2c1
OCCc1ccccc1Br
O=C1Nc2ccc(Br)cc2C12OCCO2
N#Cc1cc(Br)cs1
Oc1ncnc2ccc(Br)cc12
Cc1cc(C(=O)O)c2cc(Br)ccc2n1
Brc1ccc(-c2ccn[nH]2)s1
Brc1ccc(N2CCNCC2)cc1
Brc1ccccc1-c1nnn[nH]1
Brc1ccc2[nH]cnc2c1
C#Cc1ccc(Br)cc1
CC(=O)/C=C/c1ccc(Br)cc1
CSc1ncc(Br)cn1
Cc1ccc(Br)nc1
CC(=O)Cc1cccc(Br)c1
Brc1ccc(-c2nc3ccccc3[nH]2)cc1
Oc1ncc(Br)cn1
Nc1ncncc1Br
Nc1cc(Br)ncn1
Fc1ccc(Br)nc1
Oc1ccnc(Br)c1
Oc1ccc(Br)cn1
Oc1cccc(Br)n1
N#Cc1cccnc1Br
NC(=O)c1cccnc1Br
Brc1ccc2ncccc2n1
Brc1ccc2cccnc2n1
CC(C)(C)c1cccc(Br)c1
Cc1cccnc1Br
Oc1ccnc2ccc(Br)cc12
CCOC(=O)c1c(-c2ccc(Br)cc2)csc1N
O=C(c1ccc(Br)cc1)N1CCOCC1
Brc1ccc2nn[nH]c2c1
Cn1ncc(Br)c1C(=O)O
O=C(c1cccc(Br)c1)C(F)(F)F
O=S(=O)(CCO)c1ccc(Br)cc1
Cc1ccc(Br)cn1
O=S(=O)(O)c1cncc(Br)c1
CC(C)(C)Oc1ccc(Br)cc1
Brc1ccc(CN2CCOCC2)cc1
CNC(=O)c1cccc(Br)c1
Brc1cccc(-c2nnn[nH]2)c1
Cc1[nH]c(=O)c(C#N)c(C)c1Br
O=C1Nc2c(Br)cc(Cl)cc2C1=O
N#CCCc1ccc(Br)cc1
N#CC1(c2ccc(Br)cc2)CC1
Brc1ccc(C2OCCO2)cc1
Cn1cnc(Br)c1
CC(=O)c1cc(Br)cs1
COc1cccnc1Br
Cn1cncc1Br
Nc1cc(Br)ccn1
Cc1cnccc1Br
Cc1cncc(Br)c1
Brc1cccc2cnccc12
