,Greedy,Random,Conv. selection,EI,Greedy (pruned),ScopeBO,Random (pruned),Explorative,Explorative (pruned)
U-Scores,18.122943887913173,40.08570129929329,47.22304669496798,50.53766838617376,56.22912494766301,66.7479542196799,70.96540577390627,72.2497293921746,72.79906548434863
U-Ranks,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0
R-Scores,-23.478588978670484,4.002424824665155,-1.6558771578708722,81.0748750115828,17.917338041019143,44.216497669778526,43.864668632114316,45.20161571166854,45.41568121919473
R-Ranks,9.0,7.0,8.0,1.0,6.0,4.0,5.0,3.0,2.0
