,Greedy,Random,Conv. selection,Greedy (pruned),Random (pruned),EI,EI (pruned),Explorative (pruned),Explorative
U-Scores,38.18062497643372,54.43656279934095,58.99809182347441,63.712181020806426,65.7879917014229,69.2120454043712,71.72711319338114,79.53313203313944,79.73699006177118
U-Ranks,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0
R-Scores,123.46455143739362,70.56305338853997,105.35834805223135,101.49290235839105,60.77218160100292,98.05882802055692,90.00147913610877,97.52423540583261,97.44148894503189
R-Ranks,1.0,8.0,2.0,3.0,9.0,4.0,7.0,5.0,6.0
